assigned,longitude,latitude
affinis,-112.09,24.79
affinis,-111.75,25.2
affinis,-111.64,25.32
affinis,-110.99,24.33
affinis,-110.1,24.01
affinis,-110.74,24.61
affinis,-110.22,24.16
affinis,-110.22,23.96
affinis,-110.4,24.09
affinis,-110.9,24
affinis,-110.72,24.49
affinis,-109.99,24.1
affinis,-111.29,24.91
affinis,-110.29,24.07
affinis,-110.74,24.7
affinis,-110.16,24.25
affinis,-110.45,24.17
affinis,-110.33,24.17
affinis,-109.83,23.99
affinis,-110.83,25.08
affinis,-109.86,24.24
affinis,-111.92,25.51
affinis,-111.94,25.34
affinis,-110.34,24.32
affinis,-111.14,25.46
affinis,-111.85,24.66
