assigned,longitude,latitude
anthonyi,-111.16,32.32
anthonyi,-110.95,31.67
anthonyi,-110.11,31.41
anthonyi,-115.68,33.91
anthonyi,-110.93,32.33
anthonyi,-111.88,31.91
anthonyi,-110.35,31.84
anthonyi,-116.01,34
anthonyi,-111.28,31.58
anthonyi,-110.93,32.13
anthonyi,-116.37,34.17
anthonyi,-109.82,31.92
anthonyi,-117.77,33.62
anthonyi,-117.32,33.34
anthonyi,-111.04,31.72
anthonyi,-111.26,32.25
anthonyi,-110.25,31.56
anthonyi,-116.22,33.71
anthonyi,-109.49,31.89
anthonyi,-110.93,31.88
anthonyi,-110.06,31.93
anthonyi,-117.8,34.13
anthonyi,-110.94,31.56
anthonyi,-110.7,32.84
anthonyi,-117.75,33.8
anthonyi,-110.47,31.71
anthonyi,-110.74,32.93
anthonyi,-110.3,32.19
anthonyi,-109.88,31.62
anthonyi,-111.02,31.81
anthonyi,-109.86,32.88
anthonyi,-111.3,31.82
anthonyi,-110.36,31.55
anthonyi,-109.76,32.7
anthonyi,-118.05,34
anthonyi,-111.39,32.38
anthonyi,-109.96,31.46
anthonyi,-111.48,32.45
anthonyi,-109.7,31.55
anthonyi,-117.93,34.7
anthonyi,-111.72,32.53
anthonyi,-117.78,34.7
anthonyi,-117.85,34.47
anthonyi,-110,31.57
anthonyi,-115.66,33.4
anthonyi,-117.52,34.48
anthonyi,-117.99,34.52
anthonyi,-110.86,31.5
anthonyi,-111.08,32.13
anthonyi,-111.34,32.57
anthonyi,-109.61,32.17
anthonyi,-110.73,31.61
anthonyi,-110.21,31.88
anthonyi,-110.43,32.06
anthonyi,-110.62,31.66
anthonyi,-110.66,31.75
anthonyi,-110.96,32.44
anthonyi,-110.74,32.67
anthonyi,-111.36,32.83
anthonyi,-111.03,31.93
anthonyi,-115.18,33.41
anthonyi,-111.51,31.57
anthonyi,-110.38,32.31
anthonyi,-110.14,31.55
anthonyi,-111.2,32.82
anthonyi,-110.22,31.72
anthonyi,-116.44,34.24
anthonyi,-111.42,32.27
anthonyi,-115.59,33.28
anthonyi,-115.95,33.33
anthonyi,-111.27,32.47
anthonyi,-111.43,31.66
anthonyi,-110.86,32.49
anthonyi,-116.56,34.2
anthonyi,-117.89,33.64
anthonyi,-110.92,32.69
anthonyi,-109.7,31.73
anthonyi,-116.42,33.06
anthonyi,-109.66,31.64
anthonyi,-116.52,33.15
anthonyi,-111.71,32.83
anthonyi,-109.75,32.07
anthonyi,-110.92,32.6
anthonyi,-111.53,31.96
anthonyi,-111.61,31.53
anthonyi,-110.84,32.28
anthonyi,-111.04,32.23
anthonyi,-111.71,32.94
anthonyi,-109.76,32.57
anthonyi,-111.31,31.99
anthonyi,-111.21,32.61
anthonyi,-109.72,32.21
anthonyi,-111.13,31.9
anthonyi,-111.5,32.73
anthonyi,-110.33,32.83
anthonyi,-116.33,33.19
anthonyi,-109.82,31.45
anthonyi,-116.42,33.74
anthonyi,-116.57,34.05
anthonyi,-110.47,32.17
anthonyi,-117.09,33.06
anthonyi,-110.7,32.33
anthonyi,-117.84,33.91
anthonyi,-116.33,33.97
anthonyi,-110.07,31.72
anthonyi,-116.24,34.08
anthonyi,-111.84,32.88
anthonyi,-110.65,32.15
anthonyi,-116.3,33.8
anthonyi,-117.17,33.13
anthonyi,-116.39,33.85
anthonyi,-116.45,33.22
anthonyi,-116.17,33.97
anthonyi,-115.81,33.89
anthonyi,-110.68,32.5
anthonyi,-117.95,34.11
anthonyi,-115.94,33.93
anthonyi,-117.87,33.8
anthonyi,-116.96,33.16
anthonyi,-110.82,32.18
anthonyi,-111.01,32.54
anthonyi,-111.19,32.16
anthonyi,-110.83,32.09
anthonyi,-116.2,33.85
anthonyi,-115.49,33.78
anthonyi,-117.42,34.42
anthonyi,-116.66,33.99
