assigned,longitude,latitude
brunneicapillus,-110.93,29.69
brunneicapillus,-111.01,28.6
brunneicapillus,-111.9,28.79
brunneicapillus,-112.17,29.03
brunneicapillus,-111.42,28.29
brunneicapillus,-109.89,29.48
brunneicapillus,-110.81,29.59
brunneicapillus,-110.59,28.19
brunneicapillus,-110.84,29.24
brunneicapillus,-111.05,29.06
brunneicapillus,-110.39,29.43
brunneicapillus,-111.03,29.17
brunneicapillus,-110.61,29.29
brunneicapillus,-110.58,28.8
brunneicapillus,-111.01,28.27
brunneicapillus,-110.98,28.81
brunneicapillus,-111.48,28.84
brunneicapillus,-111.2,28.99
brunneicapillus,-111.13,28.9
brunneicapillus,-111.33,28.34
brunneicapillus,-110.92,29.06
brunneicapillus,-111.9,29.15
brunneicapillus,-110.9,29.15
brunneicapillus,-110.95,28.96
brunneicapillus,-112.07,28.95
brunneicapillus,-111.56,29.16
brunneicapillus,-112.28,28.78
brunneicapillus,-109.64,28.76
brunneicapillus,-109.72,28.58
brunneicapillus,-110.3,28.5
brunneicapillus,-109.53,28.46
brunneicapillus,-111.5,28.38
brunneicapillus,-111.92,29.05
brunneicapillus,-111.79,29.1
brunneicapillus,-111.93,28.91
brunneicapillus,-112.12,29.13
brunneicapillus,-112.1,29.4
brunneicapillus,-112.22,29.21
brunneicapillus,-110.9,29.38
brunneicapillus,-110.58,28.62
