assigned,longitude,latitude
guttatus,-102.9,21.18
guttatus,-101.69,22.52
guttatus,-100.69,20.17
guttatus,-100.73,20.92
guttatus,-102.95,21.33
guttatus,-100.4,20.55
guttatus,-99.21,20.54
guttatus,-101.59,23.02
guttatus,-101.75,22.73
guttatus,-101.12,20.23
guttatus,-99.25,20.02
guttatus,-102.63,21.09
guttatus,-99.36,20.03
guttatus,-101.2,19.93
guttatus,-102.81,21.03
guttatus,-99.18,19.89
guttatus,-100.08,20.41
guttatus,-101.29,22.07
guttatus,-102.37,21.75
guttatus,-98.4,19.86
guttatus,-99.92,20.38
guttatus,-101.76,21.93
guttatus,-100.81,21.03
guttatus,-103.38,20.76
guttatus,-100.13,20.33
guttatus,-102.35,22.25
guttatus,-100.94,20.83
guttatus,-102.15,21.57
guttatus,-100.37,20.66
guttatus,-101.34,22.33
guttatus,-99.86,20.51
guttatus,-100.85,22.23
guttatus,-100.27,20.37
guttatus,-101.1,22.98
guttatus,-100.66,20.78
guttatus,-103.24,20.64
guttatus,-100.15,20.19
guttatus,-100.32,20.77
guttatus,-100.74,23.73
guttatus,-100.7,21.76
guttatus,-103.19,22.55
guttatus,-103.09,22.54
guttatus,-100.59,20.05
guttatus,-101.68,21.19
guttatus,-103.52,20.72
guttatus,-101.16,22
guttatus,-98.96,20.38
guttatus,-98.94,20.16
guttatus,-102.72,22.98
guttatus,-101.67,21.3
guttatus,-100.28,20.6
guttatus,-99.29,19.36
guttatus,-99.53,20.02
guttatus,-100.97,22.09
guttatus,-100.71,20.05
guttatus,-101.71,22.64
guttatus,-102.45,22.19
guttatus,-102.56,22.78
guttatus,-100.47,20.73
guttatus,-103.26,23.13
guttatus,-99.27,19.72
guttatus,-99.55,20.48
guttatus,-99.43,23.57
guttatus,-100.93,21.81
guttatus,-103.09,20.9
guttatus,-99.96,20.51
guttatus,-99.62,20.38
guttatus,-100.66,21.11
guttatus,-98.85,20.11
guttatus,-100.82,20.84
guttatus,-101.71,23.86
guttatus,-102.43,21.88
guttatus,-99.81,20.69
guttatus,-100.95,19.93
guttatus,-99.44,20.49
guttatus,-102.6,21.49
guttatus,-101.5,20.38
guttatus,-100.74,23.83
guttatus,-101.27,20.91
guttatus,-100.95,23.73
guttatus,-99.25,20.26
guttatus,-102.55,22.69
guttatus,-101.36,20.95
guttatus,-100.5,22.14
guttatus,-103.57,20.08
guttatus,-101.16,22.39
guttatus,-101.91,22.79
guttatus,-100.5,20.63
guttatus,-103.51,22.48
guttatus,-99.77,22.95
guttatus,-99.61,20.61
guttatus,-103.3,22.31
guttatus,-101.93,21.95
guttatus,-100.5,21.27
guttatus,-101.37,23.14
guttatus,-99.11,20.03
guttatus,-102.37,21.98
guttatus,-100.75,21.61
guttatus,-99.08,19.89
guttatus,-100.18,21.08
guttatus,-100.2,21.19
