assigned,longitude,latitude
anthonyi,-111.17,32.24
anthonyi,-101.74,21.5
anthonyi,-106.48,35.14
anthonyi,-103.53,29.33
anthonyi,-111.01,31.83
anthonyi,-118.34,33.73
anthonyi,-115.09,35.57
anthonyi,-116.79,33.9
anthonyi,-115.79,32.16
anthonyi,-114.71,30.89
anthonyi,-116.42,33.27
anthonyi,-102.18,26.85
anthonyi,-115.62,32.89
anthonyi,-101.88,26.98
anthonyi,-115.45,32.91
anthonyi,-118.99,34.2
anthonyi,-110.56,32.1
anthonyi,-116.23,32.71
anthonyi,-112.18,33.29
anthonyi,-111.51,33.76
anthonyi,-116.35,32.98
anthonyi,-110.93,32.22
anthonyi,-116.1,32.67
anthonyi,-115.49,33.17
anthonyi,-113.88,34.9
anthonyi,-114.72,32.72
anthonyi,-112.67,29.92
anthonyi,-118.44,35.05
anthonyi,-113.55,31.31
anthonyi,-110.77,32.61
anthonyi,-110.68,32.24
anthonyi,-117.96,35.63
anthonyi,-115.55,32.79
anthonyi,-111.05,31.61
anthonyi,-111.54,31.47
anthonyi,-118.39,34
anthonyi,-114.83,31.02
anthonyi,-117.3,34.42
anthonyi,-114.56,32.8
anthonyi,-116.07,33.57
anthonyi,-114.62,35.04
anthonyi,-115.68,32.76
anthonyi,-117,33.8
anthonyi,-121.7,37.23
anthonyi,-117.28,34.14
anthonyi,-110.64,31.94
