assigned,longitude,latitude
brunneicapillus,-97.42,26
brunneicapillus,-109.05,25.6
brunneicapillus,-108.76,26.54
brunneicapillus,-110.98,27.96
brunneicapillus,-109.53,28.46
brunneicapillus,-109,27.14
brunneicapillus,-108.03,25.13
brunneicapillus,-109.94,27.61
brunneicapillus,-108.7,26.97
brunneicapillus,-109.44,27.08
brunneicapillus,-109.6,23.17
brunneicapillus,-112.07,30.65
brunneicapillus,-109.83,27.74
brunneicapillus,-108.58,26.95
brunneicapillus,-111.5,28.38
brunneicapillus,-110.39,27.75
brunneicapillus,-110.8,27.96
brunneicapillus,-111.93,28.93
brunneicapillus,-111.92,29.05
brunneicapillus,-111.79,29.1
brunneicapillus,-111.11,29.91
brunneicapillus,-112.12,29.13
brunneicapillus,-112.1,29.4
brunneicapillus,-112.22,29.21
brunneicapillus,-111.94,28.83
brunneicapillus,-110.97,29.08
brunneicapillus,-109.25,27.23
brunneicapillus,-109.3,26.95
brunneicapillus,-110,27.08
brunneicapillus,-112.34,29.22
brunneicapillus,-109.14,26.37
brunneicapillus,-110.9,29.38
brunneicapillus,-110.58,28.62
brunneicapillus,-109.72,28.58
brunneicapillus,-109.97,27.48
brunneicapillus,-109.93,27.17
brunneicapillus,-110.62,29.92
brunneicapillus,-110.62,28.75
brunneicapillus,-110.3,28.5
brunneicapillus,-108.94,27.02
brunneicapillus,-102.99,22.65
brunneicapillus,-109.19,30.38
brunneicapillus,-109.72,29.8
brunneicapillus,-112.5,30.57
brunneicapillus,-100.31,22.47
