assigned,longitude,latitude
bryanti,-115.77,32.61
bryanti,-116.66,31.72
bryanti,-119.75,37.25
bryanti,-115.34,30.46
bryanti,-115.77,30.03
bryanti,-116.17,30.96
bryanti,-115.79,30.25
bryanti,-115.63,30.05
bryanti,-109.86,24.24
bryanti,-116.96,32.51
bryanti,-115.97,30.45
bryanti,-113.3,28.83
bryanti,-115.37,30.05
bryanti,-115.27,29.52
bryanti,-114.74,29.89
bryanti,-114.17,29.25
bryanti,-115.27,29.63
bryanti,-114.97,29.93
bryanti,-114.73,29.75
bryanti,-114.25,28.72
bryanti,-115.84,30.37
bryanti,-115.48,30.04
bryanti,-97.51,26.13
bryanti,-116.61,32.13
bryanti,-98.83,26.3
bryanti,-116.17,32.13
bryanti,-115.83,30.57
bryanti,-101.49,24.77
bryanti,-116.05,30.96
bryanti,-100.54,30.5
bryanti,-109.69,23.06
bryanti,-117.1,32.67
bryanti,-122.41,40.44
bryanti,-118.14,34.15
bryanti,-117.4,33.95
bryanti,-110.93,32.22
bryanti,-111.08,32.27
bryanti,-110.83,32.73
