assigned,longitude,latitude
guttatus,-98.34,26.19
guttatus,-110.75,31.55
guttatus,-103.08,21.63
guttatus,-99.79,20.86
guttatus,-99.81,20.67
guttatus,-99.61,20.61
guttatus,-104.86,24.01
guttatus,-99.97,21.87
guttatus,-102.28,21.88
guttatus,-99.94,20.74
guttatus,-101.05,20.22
guttatus,-104.38,23.55
guttatus,-103.65,25.48
guttatus,-101,25.67
guttatus,-99.89,20.48
guttatus,-96.19,16.97
guttatus,-116.45,32.43
guttatus,-104.95,25.62
guttatus,-105.64,26.88
guttatus,-106.22,26.65
guttatus,-99.74,21.03
guttatus,-105.34,25.06
guttatus,-101.39,24.38
guttatus,-102.59,20.3
guttatus,-109.03,32.05
guttatus,-103.64,25.28
guttatus,-104.7,24.05
guttatus,-101.53,24.7
guttatus,-102.13,22.22
guttatus,-100.64,23.79
guttatus,-103.34,20.43
guttatus,-102.23,21.29
guttatus,-100.18,20.59
guttatus,-100.29,20.59
guttatus,-101.4,20.73
guttatus,-101.25,20.75
guttatus,-99.29,20.48
guttatus,-103.77,25.1
guttatus,-100.05,24.67
guttatus,-102.93,23.5
guttatus,-111.39,33.03
guttatus,-105.33,27.57
guttatus,-105.03,27.54
guttatus,-100.7,22.43
guttatus,-100.04,21.45
guttatus,-102.51,22.73
guttatus,-101.79,21.21
guttatus,-103.65,23.61
guttatus,-99.77,20.24
guttatus,-101.2,20.44
guttatus,-99.44,27.07
guttatus,-99.38,23.41
guttatus,-99.17,20.5
guttatus,-99.14,20.29
guttatus,-99.5,20.21
guttatus,-102.25,22.03
guttatus,-101.23,22.33
guttatus,-116.08,33.57
guttatus,-103.72,30.74
guttatus,-103.25,30.2
guttatus,-103.58,30.49
guttatus,-109.38,30.44
guttatus,-98.08,29.07
guttatus,-97.48,26.07
guttatus,-103.15,29.17
guttatus,-97.5,25.9
guttatus,-115.48,32.67
guttatus,-111.16,30.62
guttatus,-100.07,21.8
guttatus,-109.1,31.92
guttatus,-109.22,31.93
guttatus,-98.64,24.93
guttatus,-109.23,32.27
guttatus,-109.37,32.24
guttatus,-101.02,23.52
guttatus,-99.07,21.33
guttatus,-100.97,22.11
guttatus,-99.75,23.57
guttatus,-110.67,32.5
guttatus,-109.32,31.52
guttatus,-110.5,31.58
guttatus,-110.93,32.22
guttatus,-117.72,34.11
guttatus,-96.98,30.85
guttatus,-118.43,34.27
guttatus,-110.29,31.97
guttatus,-105.38,25.92
guttatus,-103.18,20.28
guttatus,-101.1,23.12
guttatus,-110.97,29.08
guttatus,-100.31,22.87
