assigned,longitude,latitude
sandiegensis,-117.85,33.64
sandiegensis,-116.6,31.84
sandiegensis,-117.61,33.55
sandiegensis,-117.95,34.12
sandiegensis,-116.96,33.14
sandiegensis,-117.12,32.56
sandiegensis,-117.56,33.39
sandiegensis,-117.95,33.9
sandiegensis,-115.61,31.35
sandiegensis,-116.71,31.74
sandiegensis,-118.21,33.76
sandiegensis,-118.4,33.74
sandiegensis,-117.03,32.81
sandiegensis,-116.36,35.54
sandiegensis,-116.75,32.37
sandiegensis,-117.02,32.68
sandiegensis,-115.72,31.38
sandiegensis,-116.72,32.48
sandiegensis,-116.99,32.91
sandiegensis,-117.13,32.73
sandiegensis,-116.84,32.5
sandiegensis,-117.56,33.66
sandiegensis,-116.9,32.85
sandiegensis,-118,34
sandiegensis,-117.11,33.07
