assigned,longitude,latitude
affinis,-110.35,23.58
affinis,-110.24,23.44
affinis,-114.08,28.27
affinis,-110.16,23.35
affinis,-111.92,25.97
affinis,-109.92,23.65
affinis,-110.1,23.55
affinis,-109.87,23.56
affinis,-110.34,24.32
affinis,-110.2,23.84
affinis,-109.58,23.59
affinis,-111.31,25.81
affinis,-109.92,22.88
affinis,-109.85,23.94
affinis,-110.25,23.95
affinis,-113.76,28.63
affinis,-111.93,26.72
affinis,-111.14,25.46
affinis,-110.3,24.17
affinis,-110.31,23.85
affinis,-112.88,28.3
affinis,-113.43,28.11
affinis,-109.8,22.96
affinis,-109.92,23.8
affinis,-113.74,28.74
affinis,-111.85,24.66
affinis,-111.92,25.5
affinis,-109.77,23.26
affinis,-112.59,27.41
affinis,-109.43,23.37
affinis,-115.49,32.58
affinis,-113.23,28.02
affinis,-111.82,26.09
affinis,-112.12,25.73
affinis,-110.08,23.15
affinis,-111.94,25.34
affinis,-110.08,23.83
affinis,-113.14,26.88
affinis,-109.77,23.37
affinis,-112.41,27.34
affinis,-112.59,27.65
affinis,-112.78,27.86
affinis,-110.3,24.07
affinis,-109.71,23.06
affinis,-109.71,23.53
affinis,-113.23,26.79
affinis,-113.55,28.94
affinis,-112.85,27.45
affinis,-122.42,37.63
affinis,-112.7,27.28
affinis,-112.1,27.05
affinis,-109.95,27.5
affinis,-110,23.57
affinis,-112.9,27.3
affinis,-112.25,27.22
affinis,-113.81,28.26
affinis,-116.61,32.13
affinis,-111.35,26
affinis,-109.92,23.46
affinis,-115.57,30.05
affinis,-112.33,28.76
affinis,-113.05,27.6
affinis,-113.93,28.5
affinis,-111.94,25.82
affinis,-116.8,32.36
affinis,-109.67,23.18
affinis,-100.46,24.95
affinis,-115.74,30.97
affinis,-119.75,37.25
affinis,-110.88,27.98
affinis,-115.03,29.66
affinis,-112.24,27.06
affinis,-110.24,23.55
affinis,-116.55,33.85
affinis,-115.67,31.36
