assigned,longitude,latitude
sandiegensis,-117.85,33.64
sandiegensis,-116.6,31.84
sandiegensis,-117.61,33.55
sandiegensis,-117.95,34.12
sandiegensis,-116.99,32.7
sandiegensis,-117.12,32.56
sandiegensis,-117.56,33.39
sandiegensis,-117.95,33.9
sandiegensis,-115.61,31.35
sandiegensis,-117.08,33.05
sandiegensis,-118.21,33.76
sandiegensis,-118.4,33.74
sandiegensis,-117.03,32.81
sandiegensis,-116.36,35.54
sandiegensis,-116.75,32.37
sandiegensis,-115.72,31.38
sandiegensis,-116.72,32.48
sandiegensis,-117.16,32.72
sandiegensis,-116.99,32.91
sandiegensis,-116.97,33.09
sandiegensis,-116.84,32.5
sandiegensis,-117.56,33.66
sandiegensis,-116.89,32.86
sandiegensis,-118,34
sandiegensis,-116.69,31.71
