assigned,longitude,latitude
sandiegensis,-115.79,32.15
sandiegensis,-116.46,33.02
sandiegensis,-116.35,33.01
sandiegensis,-116.22,32.62
sandiegensis,-116.07,32.67
sandiegensis,-116.14,32.75
sandiegensis,-116.63,32.52
sandiegensis,-116.89,32.86
sandiegensis,-115.3,32.59
sandiegensis,-117,32.73
sandiegensis,-117.08,32.79
sandiegensis,-116.38,32.91
sandiegensis,-116.21,32.84
sandiegensis,-116.26,31.95
sandiegensis,-116.13,31.87
sandiegensis,-117.13,32.58
sandiegensis,-117.09,33.03
sandiegensis,-116.25,32.94
sandiegensis,-116.36,32.73
sandiegensis,-116.84,33.02
sandiegensis,-116.02,32.89
sandiegensis,-115.54,32.98
sandiegensis,-115.28,33.02
sandiegensis,-116.79,32.78
sandiegensis,-115.67,32.85
sandiegensis,-115.54,32.86
sandiegensis,-115.45,32.79
sandiegensis,-115.8,32.37
sandiegensis,-115.68,32.76
sandiegensis,-116.61,32.13
sandiegensis,-115.45,32.91
sandiegensis,-116.17,32.13
sandiegensis,-116.45,32.43
sandiegensis,-115.48,32.67
sandiegensis,-115.49,32.58
sandiegensis,-116.8,32.36
sandiegensis,-117.04,32.52
sandiegensis,-115.33,32.33
sandiegensis,-115.72,31.4
sandiegensis,-117.16,32.72
sandiegensis,-116.99,32.91
sandiegensis,-116.84,32.5
sandiegensis,-116.6,31.84
sandiegensis,-116.71,31.74
sandiegensis,-117.01,32.63
