"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"sandiegensis"	"numSubsppGroups"	"assigned"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-100.284699	20.579093	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-100.285823	20.595544	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.409429	33.267762	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.959034	20.510668	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.440253	27.546017	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.116144	28.359504	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.704511	23.041563	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.860615	33.727578	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-115.900992	33.873415	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.43497	28.29033	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.436184	28.289657	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.308731	24.166187	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-106.512161	31.853748	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.031543	33.812071	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.990333	32.455442	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.166655	32.242295	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.704451	23.151855	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-100.312403	20.654494	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.30867	24.166306	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.210545	32.27212	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.194547	25.950756	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.484083	33.978079	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.257563	35.002994	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-106.456938	31.851362	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.433908	28.292007	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.434155	28.291837	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.435496	28.288797	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-118.180158	34.727741	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.092195	20.899224	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.091346	20.901189	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.642487	33.672705	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.740878	33.796555	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-115.461719	32.5891	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.422698	33.24495	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.864364	33.497571	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.617087	33.632606	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.661011	30.358492	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.615976	33.633836	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.163239	32.25392	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.433468	28.292684	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.435785	28.289595	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.436021	28.289557	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-101.280959	20.898069	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.415823	33.268007	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-108.206268	31.818638	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.363527	25.999636	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.809863	32.322365	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.426704	28.317758	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.425792	28.317874	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.796046	33.74688	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.655691	32.256881	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.433342	28.293991	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.434069	28.292082	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.434427	28.291562	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.740989	33.796585	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.308678	24.166296	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.022483	34.020221	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.798391	33.771072	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.796197	33.773624	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-109.706071	23.04175	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.938112	33.445713	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.185958	34.009309	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.94438	33.46112	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-116.412042	34.107675	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus affinis Xantus de Vesey, 1860"	-110.286139	23.535333	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus affinis Xantus de Vesey, 1860"	-110.350806	23.579747	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.960663	32.378807	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.95283	32.380156	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.130031	32.32874	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.162674	32.318275	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-112.8237	31.882114	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.612497	33.458416	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.933648	33.420324	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.961455	32.381122	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.282924	24.230768	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-103.207957	29.327716	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.436149	28.289584	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.740736	33.796387	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.740749	33.796452	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.740846	33.796538	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.822705	33.381037	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.422601	28.321771	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.543508	33.44236	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-105.425485	28.319132	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.730285	32.281403	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-102.904719	21.184147	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-118.196244	34.668276	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-98.330302	26.193081	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.883713	33.512458	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.883763	33.512444	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.077465	32.276492	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.238783	23.438944	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-99.489902	24.93055	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-111.948371	33.22131	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-110.736038	32.281113	"unknown"	0	0	0	"none"
"Campylorhynchus brunneicapillus (Lafresnaye, 1835)"	-117.161178	34.090062	"unknown"	0	0	0	"none"
