"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"igneus"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.99	19.06	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.35	20.97	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis (Linnaeus, 1758)"	-99.06	19.59	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis (Linnaeus, 1758)"	-99.07	19.27	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis (Linnaeus, 1758)"	-99.14	19.48	"unknown"	0	1	1	"igneus"
"Lobelia cardinalis"	-97.37	19.96	"unknown"	0	1	1	"igneus"
"Lobelia cardinalis"	-96.85	19.87	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-99.14	19.42	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-96.42	19.73	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-98.04	20.91	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-99.14	19.25	"unknown"	0	1	1	"igneus"
"Lobelia cardinalis"	-96.95	18.84	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-99.1	19	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-97.56	20.58	"unknown"	0	1	1	"igneus"
"Lobelia cardinalis"	-96.56	17.84	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-99.18	19.22	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-96.22	17.3	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-98.75	20.19	"unknown"	0	1	1	"igneus"
"Phidippus cardinalis"	-98.89	18.65	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-92.64	16.74	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-95.97	18.99	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-99.32	19.54	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-96.41	17.48	"unknown"	0	1	1	"igneus"
"Aegithus cardinalis"	-92.69	16.75	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-98.75	20.2	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-99.01	19.33	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-99	19.33	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-98.99	19.33	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-98.55	20.25	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-99.21	19.24	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-99.19	19.25	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-92.58	16.73	"unknown"	0	1	1	"igneus"
"Stachys coccinea"	-96.51	17.4	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-95.03	18.5	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-95.06	18.51	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-99.31	20.49	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-96.48	18.2	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-98.76	20.59	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-96.38	19.24	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-97.48	20.78	"unknown"	0	1	1	"igneus"
"Cardinalis cardinalis"	-96.72	18.42	"unknown"	0	1	1	"igneus"
