"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"seftoni"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-110.01	27.53	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-110.07	27.55	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-110.02	27.53	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis"	-110.07	27.5	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus"	-110.59	28.19	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis seftoni"	-112.27	27.33	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.81	27.96	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-110.44	27.77	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.44	27.77	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis igneus"	-112.19	27.22	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-111.04	27.96	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-110.91	27.92	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus peninsulae"	-111.93	26.72	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-111.25	28.05	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.9	27.92	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-110.9	27.92	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.87	27.92	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis superbus"	-110.9	27.92	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis igneus"	-112.22	27.22	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis seftoni"	-112.22	27.22	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis igneus"	-112.18	27.17	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.81	27.97	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus peninsulae"	-112.25	27.33	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.58	28.62	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-110.58	28.62	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-109.97	27.48	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-110.87	27.92	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-110	27.08	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus"	-110	27.09	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis"	-110	27.09	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus"	-110.9	27.92	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis igneus"	-111.93	26.72	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus peninsulae"	-112.01	26.23	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis townsendi"	-111.04	27.96	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.3	28.5	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus peninsulae"	-112.27	27.34	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-109.92	27.09	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis igneus"	-111.98	26.88	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-109.93	28.62	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-109.97	27.48	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus peninsulae"	-111.83	26.73	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus peninsulae"	-112.33	27.33	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis igneus"	-112.33	27.33	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110	27.08	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.87	27.95	"unknown"	1	0	0	1	"affinis"
"Cardinalis sinuatus fulvescens"	-110.87	27.95	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis igneus"	-111.83	26.73	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis igneus"	-111.75	26.55	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis"	-109.9	27.61	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis"	-109.97	27.05	"unknown"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110.98	27.96	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-109.9	27.78	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-109.94	27.61	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110.81	27.96	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110.44	27.77	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110.87	27.92	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110.87	27.95	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-109.92	27.09	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110.81	27.97	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110	27.08	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110	27.09	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-109.97	27.05	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110.58	28.62	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-109.97	27.48	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110.9	27.92	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis Nelson, 1899"	-110.3	28.5	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.81	27.96	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.44	27.77	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.9	27.92	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.87	27.92	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.81	27.97	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.58	28.62	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-109.97	27.48	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis"	-110	27.09	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.3	28.5	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-109.92	27.09	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110	27.08	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis affinis"	-110.87	27.95	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis"	-109.97	27.05	"affinis"	1	0	0	1	"affinis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.42	39	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.5	40.54	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-85.59	42.98	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.81	38.78	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.19	40.05	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.86	41.74	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.95	38.98	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74.93	40.21	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.21	42.38	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.96	40.8	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.97	40.67	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.63	41.97	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-85.82	41.57	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74.01	40.89	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.04	38.93	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.34	38.93	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.04	40.12	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.2	39.95	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.48	38.96	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.96	40.79	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.72	39.62	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.06	38.89	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.06	38.9	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.2	38.79	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.97	40.66	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74.26	40.79	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.28	39.98	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.07	41.82	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.95	40.94	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.11	39.11	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.07	40.33	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.06	38.69	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.07	38.69	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74	40.3	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.49	39.27	"unknown"	0	1	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.51	39.57	"unknown"	0	1	0	1	"cardinalis"
