"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"seftoni"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.05	29.45	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.35	28.56	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.41	27.25	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.96	33.52	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-90.71	38.71	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.99	35.18	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.18	40.99	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.92	36.12	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.22	40.07	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-93.35	44.99	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-90.67	38.66	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-71.14	42.4	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95	37.17	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.81	35.24	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.73	43.2	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.54	38.84	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.47	34.25	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.88	42.99	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.16	31.5	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.25	32.92	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.21	32.09	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-71.45	41.96	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-89.8	41.4	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.81	32.5	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.8	42.8	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.16	35.47	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.36	28.57	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.47	35.96	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.75	39.25	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.57	33.35	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-70.88	41.95	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-72.54	43.03	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.87	40.07	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.9	32.03	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.65	37.62	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.97	33.2	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.09	36.08	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.57	44.68	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.04	32.82	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.14	43.27	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.68	45.44	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.29	40.08	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-90.71	35.82	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.51	28.28	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.51	28.23	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.92	35.83	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.31	43.7	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.97	35.89	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-90.5	36.04	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.18	33.04	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.65	35.36	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.62	28.48	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.66	45.64	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.99	35.63	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.83	36.17	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.88	28.06	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.99	29.73	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.38	43.79	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.82	26.24	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.3	31.61	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-68.91	44.81	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.64	27.87	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.71	33.09	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-93.22	44.86	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-91.42	31.36	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-71.15	42.4	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.93	29.22	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-101.85	33.6	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.48	44.67	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.31	39.49	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.13	33.6	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.34	27.71	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.17	38.21	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.5	27.58	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.7	44.77	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.56	44.67	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.79	33.71	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.8	33.71	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.48	44.66	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.73	35.83	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.91	32.99	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.17	30.09	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.52	39.35	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.59	43.73	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-106.56	31.82	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.15	33	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97	32.66	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.01	32.73	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-108.43	25.52	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.93	45.47	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-86.48	35.5	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-82.36	29.62	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.12	32.78	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.96	33.07	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-83.97	35.76	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-93.33	44.89	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-71.3	42.37	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.69	45.68	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-71.27	42.32	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.15	29.46	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-79.1	33.43	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-83.56	46.26	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-90.12	29.79	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.3	29.86	"unknown"	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.8	30.15	"unknown"	0	0	0	0	"none"
