"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"flammiger"	"floridanus"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-77.42	39	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.5	40.54	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.96	33.52	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-90.71	38.71	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-78.99	35.18	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-81.18	40.99	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.22	40.07	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-90.67	38.66	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-85.59	42.98	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-71.14	42.4	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95	37.17	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.81	35.24	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-76.81	38.78	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.73	43.2	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.54	38.84	"unknown"	0	1	0	0	1	"cardinalis"
"Cardinalis cardinalis (Linnaeus, 1758)"	-87.88	42.99	"unknown"	0	1	0	0	1	"cardinalis"
