"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"flammiger"	"floridanus"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.05	29.45	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.41	27.25	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.92	36.12	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-93.35	44.99	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.47	34.25	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.16	31.5	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.57	33.35	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.9	32.03	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.97	33.2	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.57	44.68	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.04	32.82	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.68	45.44	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-90.71	35.82	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-90.5	36.04	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.18	33.04	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.66	45.64	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.99	35.63	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.88	28.06	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.99	29.73	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.3	31.61	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-68.91	44.81	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.64	27.87	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.71	33.09	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-93.22	44.86	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-91.42	31.36	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.93	29.22	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-101.85	33.6	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.48	44.67	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.34	27.71	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.5	27.58	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.7	44.77	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.56	44.67	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.79	33.71	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.8	33.71	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.48	44.66	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.73	35.83	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.91	32.99	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.17	30.09	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-106.56	31.82	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.15	33	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97	32.66	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.01	32.73	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-108.43	25.52	"unknown"	0	0	0	0	0	"none"
