"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"fulvescens"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-100.12	25.91	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.13	25.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.45	31.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.5	28.26	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.48	28.26	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.14	31.91	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-97.89	27.53	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.44	31.91	"unknown"	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-110.34	24.11	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.43	28.29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.81	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.75	25.42	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-97.81	27.99	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.17	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.92	32.5	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.6	26.54	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.36	34.16	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.53	33.06	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.54	33.08	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.08	32.05	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.06	33.49	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.71	32.24	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.83	31.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-110.43	24.13	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-97.92	27.86	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.86	32.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.49	28.26	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.42	28.32	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.7	32.22	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.44	28.29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.85	32.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.78	26.96	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.02	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-116.28	33.64	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.71	28.89	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.19	26.51	"unknown"	0	0	0	"none"
