"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-100.36	34.16	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.06	33.49	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.83	31.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.26	32.44	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.63	30.36	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.89	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.62	33.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.92	32.75	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.28	32.44	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.73	30.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.81	31.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.85	33.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.83	31.03	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.62	33.51	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.75	32.47	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.76	32.47	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.72	32.32	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.86	30.66	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.83	32.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.87	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.73	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.84	31.05	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.78	31.08	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.5	30.59	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.75	31.04	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.94	30.6	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.19	33.15	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.41	32.19	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.39	33.25	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.47	32.11	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.82	30.53	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.78	30.47	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.8	30.54	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.89	33.81	"unknown"	0	0	0	"none"
