assigned,longitude,latitude
fulvescens,-110.9617,31.8555
fulvescens,-112.293333,29.015278
fulvescens,-110.780048,32.345013
fulvescens,-106.148333,23.251667
fulvescens,-111.252263,28.0469
fulvescens,-106.415556,23.218889
fulvescens,-110.440969,27.7735494
fulvescens,-111.183333,31.433333
fulvescens,-110.913915,27.918567
fulvescens,-109.25,26.35
fulvescens,-110.383333,29.4
fulvescens,-110.93728,31.13012
fulvescens,-109.248333,27.225
fulvescens,-109.3,26.95
fulvescens,-109.4,27.15
fulvescens,-109.933333,28.616667
fulvescens,-110.583333,28.616667
fulvescens,-109.716667,28.583333
fulvescens,-111.2,31.2
fulvescens,-110.666664,32.5
fulvescens,-110.870898,31.942939
fulvescens,-111.00833,32.055165
fulvescens,-111.58678,31.78981
fulvescens,-99.2506,31.2504
fulvescens,-110.332395,31.905361
fulvescens,-110.221635,31.875029
fulvescens,-110.4925,32.4275
fulvescens,-109.897778,31.418333
fulvescens,-110.1725,31.6358
fulvescens,-111.54608,31.47076
fulvescens,-106.965556,24.97
fulvescens,-109.1445571186,31.9143080898
fulvescens,-110.79729,31.73531
fulvescens,-110.5643204,31.9138822
fulvescens,-110.864681,32.183396
fulvescens,-111.5837191,31.6770306
fulvescens,-110.7367,32.2517
fulvescens,-111.0884337,32.3997219
fulvescens,-106.927498,32.50111
fulvescens,-111.040588,27.9569048
fulvescens,-108.94054,27.0219511
fulvescens,-110.9666667,32.5166667
fulvescens,-110.5,32.3166667
fulvescens,-110.9666667,32.2166667
fulvescens,-109.6166667,28.6166667
fulvescens,-110,27.0833333
fulvescens,-108.7,26.9666667
fulvescens,-110.9666667,29.0666667
fulvescens,-109.2666667,31.3333333
fulvescens,-110.9333343506,32.3833351135
fulvescens,-99.13,23.7533333
fulvescens,-97.3961,27.8003
fulvescens,-109.9666667,27.4833333
fulvescens,-111.6666667,31.2666667
