assigned,longitude,latitude
peninsulae,-110.103063,23.802121
peninsulae,-109.816368,22.932446
peninsulae,-109.580959,23.17118
peninsulae,-110.259338,23.47195
peninsulae,-109.790622,23.498989
peninsulae,-109.427761,23.441644
peninsulae,-110.0967,23.5451
peninsulae,-110.197491,23.842084
peninsulae,-110.300554,24.045405
peninsulae,-112.006709,26.231132
peninsulae,-111.137247,25.457009
peninsulae,-112.25061,27.333585
peninsulae,-110.250553,24.1504
peninsulae,-110.20055,23.75042
peninsulae,-109.698333,23.181667
peninsulae,-116.795,32.363333
peninsulae,-109.966667,23.5
peninsulae,-112.2355930827,27.0611487915
peninsulae,-109.7131206978,23.7218347766
peninsulae,-112.4925421815,26.9918114858
peninsulae,-112.0658259106,25.1680966258
peninsulae,-109.6911168162,23.0528327137
peninsulae,-109.9981289729,23.0705106115
peninsulae,-110.0073116279,22.9646235291
peninsulae,-109.9549891706,23.6446462505
peninsulae,-109.6704030556,23.5385780556
peninsulae,-109.6965435,23.3279605
peninsulae,-110.8937274502,24.0033678189
peninsulae,-109.6785579061,23.63770626
peninsulae,-110.4256069194,24.1345961671
peninsulae,-110.2082666667,23.3892966667
peninsulae,-109.979882,23.763194
peninsulae,-111.92893,26.7202816
peninsulae,-109.917212,22.8837898
peninsulae,-115.742374,30.970658
peninsulae,-110.8333333,25.0833333
peninsulae,-110.5916667,24.877778
peninsulae,-111.8172222,26.056667
peninsulae,-97.45,26.15
