assigned,longitude,latitude
peninsulae,-110.100792,24.005611
peninsulae,-109.56841,23.596691
peninsulae,-104.412025,23.45919
peninsulae,-110.15711,23.281315
peninsulae,-110.01537,23.721102
peninsulae,-104.43612,24.2226
peninsulae,-110.01465,22.905258
peninsulae,-104.501434,23.97245
peninsulae,-106.600746,23.459093
peninsulae,-109.43999,23.247047
peninsulae,-110.191376,23.373146
peninsulae,-106.25813,23.2401
peninsulae,-104.68866,24.031796
peninsulae,-109.73694,23.734806
peninsulae,-104.505,24.07722
peninsulae,-107.9856102993,24.6511326919
peninsulae,-106.4418966111,23.9429233333
peninsulae,-110.103062987,23.8021207007
peninsulae,-109.690906139,23.0550731748
peninsulae,-110.4288222351,24.132633749
peninsulae,-110.259337569,23.4719501104
peninsulae,-109.9254638539,23.650932667
peninsulae,-109.6705292252,23.3663918045
peninsulae,-109.9981289729,23.0705106115
peninsulae,-107.3216833333,24.8615733333
peninsulae,-110.1045144349,23.0530804627
peninsulae,-109.502937533,23.3481950757
peninsulae,-110.1538422646,22.8368864591
peninsulae,-106.5924005829,23.6846743942
peninsulae,-106.492921114,23.3061392284
peninsulae,-106.5058920041,23.8557334303
peninsulae,-107.4396586084,24.8961742956
peninsulae,-106.0438781725,23.261822727
peninsulae,-105.9192679077,23.2398809194
peninsulae,-106.2629966038,23.7935989407
peninsulae,-106.7681243074,23.7232465005
peninsulae,-107.434575,24.7969866667
peninsulae,-109.7344589771,23.4607985346
peninsulae,-106.2192131064,23.6570406244
peninsulae,-110.08512217,23.172395
peninsulae,-109.8219999399,23.5496140321
peninsulae,-110.0831683333,24.20941
peninsulae,-106.5736599124,23.5886271021
peninsulae,-106.6410255432,24.1140114086
peninsulae,-106.8267631531,23.8733666824
peninsulae,-104.3756103,23.5476219
peninsulae,-104.267967,23.867535
peninsulae,-106.46778,23.558617
peninsulae,-106.148796,23.2521247
peninsulae,-109.77054,23.2571128
peninsulae,-106.4155556,23.2188889
peninsulae,-110.200551,23.7504186
peninsulae,-110.5916667,24.877778
peninsulae,-109.7011111,23.178333
peninsulae,-109.42681,23.443459
peninsulae,-110.883827,23.990573
peninsulae,-110.0967,23.5451
peninsulae,-110.25055,24.1504
peninsulae,-109.966667,23.5
peninsulae,-110.144882748,23.8944384461
peninsulae,-109.7779200157,23.3679591787
peninsulae,-109.5809585391,23.1711796062
peninsulae,-109.8163677379,22.9324464489
peninsulae,-109.6704030556,23.5385780556
peninsulae,-109.6785579061,23.63770626
peninsulae,-110.30055,24.0454
peninsulae,-109.883333,22.866667
