assigned,longitude,latitude
fulvescens,-109.144557,31.914308
fulvescens,-112.293333,29.015278
fulvescens,-110.780048,32.345013
fulvescens,-111.002223,32.242674
fulvescens,-111.105531,32.356185
fulvescens,-109.266667,31.333333
fulvescens,-110.966667,29.066667
fulvescens,-110.440969,27.7735494
fulvescens,-111.183333,31.433333
fulvescens,-111.04,27.956667
fulvescens,-109.25,26.35
fulvescens,-110.383333,29.4
fulvescens,-110.93728,31.13012
fulvescens,-109.248333,27.225
fulvescens,-110.983333,31.85
fulvescens,-110.9262528,32.3378625
fulvescens,-109.3,26.95
fulvescens,-109.4,27.15
fulvescens,-108.7,26.966667
fulvescens,-110,27.09
fulvescens,-109.933333,28.616667
fulvescens,-109.616667,28.616667
fulvescens,-110.583333,28.616667
fulvescens,-111.2,31.2
fulvescens,-110.86468,32.1834
fulvescens,-111.0576,32.042762
fulvescens,-111.58372,31.67703
fulvescens,-99.2506,31.2504
fulvescens,-111.54139,31.48861
fulvescens,-110.332395,31.905361
fulvescens,-110.705345,32.430378
fulvescens,-110.221635,31.875029
fulvescens,-110.4925,32.4275
fulvescens,-109.897778,31.418333
fulvescens,-110.1725,31.6358
fulvescens,-99.13,23.753333
fulvescens,-106.965556,24.97
fulvescens,-110.5643204,31.9138822
fulvescens,-111.5867758,31.7898056
fulvescens,-110.7367,32.2517
fulvescens,-110.874503,32.0318371
fulvescens,-106.927498,32.50111
fulvescens,-110.892871,31.7409592
fulvescens,-110.926479,31.9314891
fulvescens,-110.913915,27.9185669
fulvescens,-111.252263,28.0469003
fulvescens,-108.94054,27.0219511
fulvescens,-110.9666667,32.5166667
fulvescens,-110.5,32.3166667
fulvescens,-97.3961,27.8003
fulvescens,-109.7166667,28.5833333
fulvescens,-109.9666667,27.4833333
fulvescens,-111.6666667,31.2666667
fulvescens,-106.148796,23.252125
fulvescens,-106.4155556,23.2188889
