assigned,longitude,latitude
sinuatus,-109.3988,31.4775
sinuatus,-103.298722,21.835556
sinuatus,-98.928275,29.72178
sinuatus,-103.679098,30.507234
sinuatus,-99.09528,26.63778
sinuatus,-103.357483,29.462
sinuatus,-100.093192,31.520301
sinuatus,-103.950611,30.394112
sinuatus,-100.646795,31.286915
sinuatus,-100.06813,29.455546
sinuatus,-99.209139,26.71865
sinuatus,-97.810346,26.820527
sinuatus,-104.59004,30.220419
sinuatus,-98.62162,27.879769
sinuatus,-106.4020077,29.480382
sinuatus,-106.7362389,29.8240547
sinuatus,-101.283302,29.708034
sinuatus,-102.922762,29.534002
sinuatus,-103.043729,22.478829
sinuatus,-100.433,31.45
sinuatus,-98.672,29.03
sinuatus,-97.777458,26.549166
sinuatus,-102.650278,29.690411
sinuatus,-104.5421474,24.7676159
sinuatus,-103.507089,25.653686
sinuatus,-99.567001,24.87373
sinuatus,-102.866667,26.216667
sinuatus,-100.110514,30.651103
sinuatus,-104.730389,31.96431
sinuatus,-102.091436,30.141874
sinuatus,-104.01861,29.770648
sinuatus,-97.584212,27.712973
sinuatus,-99.222543,28.040767
sinuatus,-101.283687,20.713917
sinuatus,-105.4927923,27.8695103
sinuatus,-97.916664,27.783333
sinuatus,-99.333548,27.660043
sinuatus,-98.466667,28.983334
sinuatus,-103.137503,29.17607
sinuatus,-103.087666,29.093263
sinuatus,-110.936667,31.13
sinuatus,-98.797,29.236
sinuatus,-98.6575,29.22611
sinuatus,-97.85142,28.814754
sinuatus,-97.615222,26.455911
sinuatus,-104.21978,21.87146
sinuatus,-102,30
sinuatus,-97.58193,26.23535
sinuatus,-97.84944,26.07869
sinuatus,-101.091971,29.91684
sinuatus,-107.089577,33.0832
sinuatus,-97.15018,28.31139
sinuatus,-103.25176,29.81195
sinuatus,-97.53333,28.17854
sinuatus,-100.11338,25.49554
sinuatus,-111,31.5
sinuatus,-99.2,23.98333
sinuatus,-97.50029,25.88369
sinuatus,-110.116667,28.516667
sinuatus,-105.776667,22.831667
sinuatus,-105.633333,26.5
sinuatus,-105.383333,25.916667
sinuatus,-94.423831,30.908781
sinuatus,-96.111336,30.39543
sinuatus,-97.74805,28.40056
sinuatus,-97.151,33.639
sinuatus,-98.833333,26.315556
sinuatus,-98.456402,29.233573
sinuatus,-106.2667,28.4667
sinuatus,-106.06882,28.62856
sinuatus,-107.979763,32.856186
sinuatus,-98.748951,26.510284
sinuatus,-99.422815,27.792511
sinuatus,-97.448633,25.993808
sinuatus,-99.50732,27.5063
sinuatus,-98.715786,35.30809
sinuatus,-98.518128,27.662531
sinuatus,-98.63522,24.93258
sinuatus,-97.9903477514,30.6308688547
sinuatus,-97.1688230932,29.7635061119
sinuatus,-97.3516558,29.1235194
sinuatus,-96.8350999,29.3359054
sinuatus,-97.7079000611,26.2001543492
sinuatus,-98.872381507,26.4741273383
sinuatus,-97.6521467142,29.6459218441
sinuatus,-99.3259277468,31.7417445192
sinuatus,-101.8036416429,30.4689454492
sinuatus,-106.2651395467,31.2024051836
sinuatus,-106.2665830509,31.3856643359
sinuatus,-106.452347558,31.2891475828
sinuatus,-101.0440199975,26.831166787
sinuatus,-99.2785583,30.6556091
sinuatus,-111.422282,33.340932
sinuatus,-110.9906433906,27.9372746003
sinuatus,-110.5918195099,28.1986363116
sinuatus,-103.7748829951,25.231554335
sinuatus,-102.0224033092,24.9096569973
sinuatus,-106.6552022962,35.0592424067
sinuatus,-103.6411998767,27.2765744032
sinuatus,-104.856895,39.75828
sinuatus,-99.9018131196,31.8371285972
sinuatus,-101.8518840871,26.6760250438
sinuatus,-97.7792816421,31.0636856686
sinuatus,-104.5008288291,30.5858562637
sinuatus,-101.0805718973,25.0615774164
sinuatus,-99.5221864669,27.7646046576
sinuatus,-103.7305263638,25.66995203
sinuatus,-100.242411218,31.4746015201
sinuatus,-102.9278638379,29.6597011404
sinuatus,-110.8197943756,32.31532665
sinuatus,-100.8522859346,31.9159135141
sinuatus,-106.8666502833,32.2814461545
sinuatus,-103.543687077,31.9256738126
sinuatus,-98.2300124,26.2034071
sinuatus,-113.3348589668,32.782528106
sinuatus,-98.6795233333,30.7317033333
sinuatus,-111.1315147853,32.4632421851
sinuatus,-106.7550077685,32.4701378964
sinuatus,-113.5429107133,32.7962224721
sinuatus,-111.1994239104,32.2779713337
sinuatus,-98.1955383333,32.9501416667
sinuatus,-100.4727765034,25.7751782338
sinuatus,-108.7963452669,25.4820321446
sinuatus,-103.92726,29.2946933333
sinuatus,-98.3904472102,30.5844142488
sinuatus,-112.2355930827,27.0611487915
sinuatus,-99.9881340681,28.2634919918
sinuatus,-107.6332028652,32.0940533074
sinuatus,-104.8516600414,24.9347067219
sinuatus,-103.827168,32.3955764997
sinuatus,-110.0661206845,31.715980422
sinuatus,-102.0884882066,27.0213504001
sinuatus,-109.8432549794,32.2707422905
sinuatus,-111.3668233529,26.0225692881
sinuatus,-111.5499027778,25.885875
sinuatus,-109.2372783333,26.4023316667
sinuatus,-106.3544100467,31.9435469693
sinuatus,-106.1837301915,28.7207317416
sinuatus,-100.8958674,29.3708857
sinuatus,-99.4474516064,26.1754592815
sinuatus,-109.1073138333,25.5896033333
sinuatus,-98.2902392694,29.4128355316
sinuatus,-90.9886173998,30.4771955079
sinuatus,-101.617328,33.513633
sinuatus,-116.3832472138,33.7107438742
sinuatus,-103.0902559307,29.4054280975
sinuatus,-110.9944083333,32.468855
sinuatus,-111.807975,28.8200616667
sinuatus,-100.0648583333,28.0852033333
sinuatus,-107.6120399872,32.1891687714
sinuatus,-111.0800374167,32.1780698167
sinuatus,-104.02824,29.3277587
sinuatus,-106.0672970158,31.5617159619
sinuatus,-109.5093436539,31.34751501
sinuatus,-98.1439043954,24.8380681937
sinuatus,-99.0493352524,26.4092701303
sinuatus,-112.4925421815,26.9918114858
sinuatus,-111.6260325264,33.1687154934
sinuatus,-103.7932865547,32.8570049261
sinuatus,-111.0958558694,28.0172813137
sinuatus,-100.53772,28.859831
sinuatus,-99.4449810649,28.3349795563
sinuatus,-107.5478666667,25.3601933333
sinuatus,-109.9529333333,31.3363333333
sinuatus,-102.2401959636,31.4527800814
sinuatus,-102.171743325,31.3497639158
sinuatus,-104.8146283333,31.8966833333
sinuatus,-103.7727932262,22.3308351343
sinuatus,-110.8339274849,32.4609166187
sinuatus,-106.3955651965,32.0398148387
sinuatus,-111.0217240031,32.279726214
sinuatus,-100.5876389155,33.0056417442
sinuatus,-112.0658259106,25.1680966258
sinuatus,-101.0821508646,25.5772559416
sinuatus,-98.3660805556,26.1770972222
sinuatus,-100.9858467483,29.9176249871
sinuatus,-100.9583969116,29.7355175018
