assigned,longitude,latitude
fulvescens,-109.611879,29.697528
fulvescens,-107.955579,30.597717
fulvescens,-107.9408080923,30.4248586372
fulvescens,-111.112886858,30.1876480144
fulvescens,-110.1648016667,30.0176916667
fulvescens,-111.5279219,30.3968172
fulvescens,-111.1189362709,30.554912017
fulvescens,-111.1462678523,30.3295953659
fulvescens,-112.3629167,30.2581667
fulvescens,-109.81834513,29.74924078
fulvescens,-112.8622312188,30.2685906746
fulvescens,-107.6076933,30.210505
fulvescens,-109.6896454319,29.8084428864
fulvescens,-108.0918362353,30.1601212254
fulvescens,-110.171919,30.331893
fulvescens,-108.9415557753,30.4796435223
fulvescens,-107.4833336,29.8790358
fulvescens,-108.083333,30.6
fulvescens,-109.767243,29.9834929
fulvescens,-109.378347,30.4376482
fulvescens,-111.1088882,29.9315528
fulvescens,-110.61726,29.9168316
