assigned,longitude,latitude
peninsulae,-110.428822,24.132634
peninsulae,-109.693757,23.05371
peninsulae,-110.103063,23.802121
peninsulae,-112.492542,26.991811
peninsulae,-109.713121,23.721835
peninsulae,-109.420625,23.402993
peninsulae,-110.007312,22.964624
peninsulae,-110.883827,23.990573
peninsulae,-109.925464,23.650933
peninsulae,-110.259338,23.47195
peninsulae,-110.0967,23.5451
peninsulae,-110.300554,24.045405
peninsulae,-109.916667,22.883333
peninsulae,-111.137247,25.457009
peninsulae,-110.833333,25.083333
peninsulae,-109.7014765,23.1787422
peninsulae,-110.250553,24.1504
peninsulae,-112.2673924,27.3391155
peninsulae,-116.795,32.363333
peninsulae,-109.966667,23.5
peninsulae,-112.2355930827,27.0611487915
peninsulae,-109.7973455116,22.9772281477
peninsulae,-112.0658259106,25.1680966258
peninsulae,-109.7906224524,23.4989887529
peninsulae,-109.4986130556,23.1590897222
peninsulae,-109.9981289729,23.0705106115
peninsulae,-109.6704030556,23.5385780556
peninsulae,-109.6965435,23.3279605
peninsulae,-109.6785579061,23.63770626
peninsulae,-110.2082666667,23.3892966667
peninsulae,-109.979882,23.763194
peninsulae,-111.92893,26.7202816
peninsulae,-115.742374,30.970658
peninsulae,-110.19749,23.84208
peninsulae,-112.0067,26.23113
peninsulae,-110.200551,23.7504186
peninsulae,-110.5916667,24.877778
peninsulae,-111.8172222,26.056667
peninsulae,-97.45,26.15
