"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"fulvescens"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-100.12	25.91	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.13	25.9	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.45	31.9	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.5	28.26	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.48	28.26	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.44	31.91	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-110.34	24.11	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.43	28.29	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.75	25.42	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.36	34.16	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.53	33.06	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.54	33.08	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.06	33.49	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.83	31.9	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-110.43	24.13	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.49	28.26	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.42	28.32	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.44	28.29	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-116.28	33.64	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.43	28.32	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.45	31.94	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.03	31.84	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.64	24.55	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-109.69	23.05	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.14	28.62	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-110.22	23.44	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.71	24.64	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-109.78	23.37	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-109.72	23.49	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.75	24.63	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-102.03	24.91	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.6	25.75	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.11	25.9	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.79	32.3	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.61	29.7	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.03	25.35	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.53	25.87	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.26	32.44	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.86	25.44	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-110.1	23.8	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.89	32.31	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.31	31.64	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.59	33.01	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.62	33.48	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-110.11	23.81	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.92	32.75	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-109.89	22.9	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.22	31.81	"unknown"	0	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.56	31.82	"unknown"	0	0	0	0	"none"
