"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"fulvescens"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-97.89	27.53	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.81	27.99	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.92	27.86	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.78	26.96	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.71	28.89	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.19	26.51	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.25	28.47	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.34	28.47	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.22	28.02	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.14	26.58	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.35	28.47	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.36	27.2	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.27	27.1	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.15	26.59	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.27	27.6	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.34	27.49	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.81	27.29	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.19	26.5	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.35	28.48	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.98	27.88	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.25	28.48	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.07	28.94	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.23	29.57	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.2	28.03	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.69	27.28	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.44	28.33	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.09	26.48	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.13	26.58	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.27	28.45	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.78	27.29	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.15	26.58	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.48	29.46	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.33	29.43	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.06	27.96	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.19	28.04	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.29	29.41	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.44	29.19	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.09	27.96	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.71	27.32	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.44	27.53	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.32	29.46	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.28	29.56	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.37	29.43	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.11	26.53	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.56	26.71	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.26	29.4	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.25	29.56	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.32	29.58	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.04	26.55	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.77	27.29	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.14	27.96	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.66	27.3	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.04	27.89	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.5	27.58	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.75	29.43	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.15	27.24	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98	29.23	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.09	27.8	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.18	28.84	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.05	26.48	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.42	27.86	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.21	28.71	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.16	26.53	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.83	27.97	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.41	29.14	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.4	27.72	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.87	27.49	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.02	26.57	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.77	27.22	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.06	26.49	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.08	29.15	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.46	27.59	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.49	27.5	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.05	26.51	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.27	28.46	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.14	26.94	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.67	27.66	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.06	27.18	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.86	28.01	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.99	26.54	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.52	28.81	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.26	26.86	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.91	27.52	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.62	28.6	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.82	27.33	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-96.99	28.13	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.75	27.21	"unknown"	1	0	0	1	"sinuatus"
