"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"fulvescens"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-97.89	27.53	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.81	27.99	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.6	26.54	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.92	27.86	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.78	26.96	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.71	28.89	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.19	26.51	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-104.33	29.54	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.25	28.47	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.34	28.47	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.21	29.33	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.62	29.17	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.22	28.02	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.14	26.58	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.17	29.66	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.35	28.47	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.58	26.55	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.36	27.2	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.27	27.1	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.15	26.59	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.27	27.6	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.51	26.54	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.34	26.22	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.34	27.49	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.81	27.29	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.19	26.5	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.96	29.74	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.35	28.48	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.63	30.36	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.98	27.88	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.25	28.48	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.45	29.52	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.51	31.47	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-101.4	26.94	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-101.31	29.7	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-102.96	29.18	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.07	28.94	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.23	29.57	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.51	26.52	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.38	26.22	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.2	28.03	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.73	30.4	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.69	27.28	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.39	29.45	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.47	29.49	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.51	31.46	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.44	28.33	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-102.81	31.62	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.54	28.86	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.09	26.48	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.13	26.58	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.27	28.45	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.78	27.29	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.05	26.41	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.37	29.21	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.34	26.19	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.28	30.66	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.14	29.27	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.15	26.58	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.96	29.43	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-104.03	29.33	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.98	29.58	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.06	28.09	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.48	29.46	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.33	29.43	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.06	27.96	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.19	28.04	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.86	30.66	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.29	29.41	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.73	26.35	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-100.9	29.37	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.44	29.19	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-101.32	29.68	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.09	27.96	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-97.71	27.32	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.44	27.53	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.32	29.46	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.99	28.26	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.28	29.56	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.37	29.43	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.93	29.29	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-103.08	29.64	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-102.07	32.04	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-99.11	26.53	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.56	26.71	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.68	30.73	"unknown"	1	0	0	1	"sinuatus"
"Cardinalis sinuatus Bonaparte, 1838"	-98.26	29.4	"unknown"	1	0	0	1	"sinuatus"
