assigned,longitude,latitude
fulvescens,-112.08,33.64
fulvescens,-109.72,31.56
fulvescens,-109.95,31.34
fulvescens,-111.06,32.14
fulvescens,-110.82,32.28
fulvescens,-109.27,32
fulvescens,-110.39,31.68
fulvescens,-110.23,31.39
fulvescens,-110.58,32.88
fulvescens,-111.28,32.47
fulvescens,-110.85,31.38
fulvescens,-110.3,32.19
fulvescens,-110.95,31.72
fulvescens,-112.23,32.74
fulvescens,-110.67,31.46
fulvescens,-109.96,31.93
fulvescens,-111.24,32.04
fulvescens,-109.86,32.81
fulvescens,-109.74,32.11
fulvescens,-110,31.57
fulvescens,-110.94,31.57
fulvescens,-111.55,32.7
fulvescens,-111.09,31.4
fulvescens,-109.71,32.76
fulvescens,-110.11,31.39
fulvescens,-109.7,31.46
fulvescens,-109.66,31.64
fulvescens,-111.74,32.5
fulvescens,-109.92,32.02
fulvescens,-109.1,31.73
fulvescens,-110.62,31.66
fulvescens,-111.19,31.43
fulvescens,-110.94,32.12
fulvescens,-112.28,33.55
fulvescens,-109.49,31.89
fulvescens,-110.25,31.55
fulvescens,-110.48,32.14
fulvescens,-111.51,33.73
fulvescens,-110.87,31.49
fulvescens,-110.22,31.72
fulvescens,-110.67,31.91
fulvescens,-111.2,32.82
fulvescens,-111.42,32.27
fulvescens,-111.03,31.93
fulvescens,-110.68,32.24
fulvescens,-110.82,32.19
fulvescens,-110.69,32.08
fulvescens,-109.97,33.01
fulvescens,-110.61,32.15
fulvescens,-109.7,31.73
fulvescens,-109.8,31.98
fulvescens,-111.4,32.65
fulvescens,-111.2,32.56
fulvescens,-110.38,31.57
fulvescens,-111.09,32.69
fulvescens,-111.48,31.57
fulvescens,-110.94,31.87
fulvescens,-111.54,33.45
fulvescens,-110.3,31.99
fulvescens,-111.31,33.4
fulvescens,-109.72,32.21
fulvescens,-110.69,31.74
fulvescens,-111.24,31.52
fulvescens,-110.54,32.62
fulvescens,-110.74,32.63
fulvescens,-111.36,32.01
fulvescens,-111.24,32.17
fulvescens,-110.84,32.09
fulvescens,-110.51,31.59
fulvescens,-111.41,32.95
fulvescens,-110.52,31.69
fulvescens,-111.72,33.99
fulvescens,-111.42,33.34
fulvescens,-110.81,32.39
fulvescens,-110.14,31.55
fulvescens,-110.07,31.72
fulvescens,-110.3,31.47
fulvescens,-110.98,32.46
fulvescens,-109.51,31.35
fulvescens,-111.63,33.17
fulvescens,-110.16,30.02
fulvescens,-110.89,32.51
fulvescens,-111.16,33.28
fulvescens,-111.74,33.36
fulvescens,-112.25,33.75
fulvescens,-110.67,30.86
fulvescens,-110.08,32.05
fulvescens,-109.59,30.72
fulvescens,-111.53,30.4
fulvescens,-111.12,30.55
fulvescens,-111.43,33.1
fulvescens,-111.12,30.17
fulvescens,-111.15,30.33
fulvescens,-109.76,32.57
fulvescens,-111.5,32
fulvescens,-111.09,32.55
fulvescens,-112.36,30.26
fulvescens,-109.12,31.91
fulvescens,-111.2,31.9
fulvescens,-110.05,31.47
fulvescens,-109.79,31.41
fulvescens,-111.18,32.29
fulvescens,-110.43,31.96
fulvescens,-111.46,33.87
fulvescens,-112.11,33.85
fulvescens,-111.32,31.84
fulvescens,-111.09,34.05
fulvescens,-109.66,29.85
fulvescens,-111.29,33.3
fulvescens,-110.07,32.33
fulvescens,-112.67,32.58
fulvescens,-109.59,32.27
fulvescens,-111.64,33.55
fulvescens,-110.35,31.83
fulvescens,-111.01,31.8
fulvescens,-111.05,31.61
fulvescens,-109.92,32.11
fulvescens,-112.69,33.92
fulvescens,-110.93,32.23
fulvescens,-111.32,31.59
fulvescens,-110.84,30.78
fulvescens,-110.17,30.33
fulvescens,-109.88,32.43
fulvescens,-111.05,33.31
fulvescens,-109.75,31.89
fulvescens,-112.17,33.23
fulvescens,-112.16,30.74
fulvescens,-110.98,31.4
fulvescens,-109.87,32.3
fulvescens,-110.21,31.88
fulvescens,-109.24,31.13
fulvescens,-112.68,34.02
fulvescens,-109.41,31.31
fulvescens,-110.75,31.54
fulvescens,-111.07,32.03
fulvescens,-110.46,31.84
fulvescens,-109.22,31.88
fulvescens,-110.54,32.22
fulvescens,-111.12,32.46
fulvescens,-110.39,31.27
fulvescens,-111.94,33.46
fulvescens,-111.03,32.28
fulvescens,-110.59,31.8
fulvescens,-109.11,31.82
fulvescens,-109.68,31.37
fulvescens,-111.95,33.83
fulvescens,-111.44,33.54
fulvescens,-110.99,31.49
fulvescens,-110.94,32.59
fulvescens,-109.45,32.16
fulvescens,-109.38,31.93
fulvescens,-110.17,31.64
fulvescens,-110.56,31.91
fulvescens,-111.59,31.79
fulvescens,-112.08,33.18
fulvescens,-109.18,32.21
fulvescens,-111.54,31.49
fulvescens,-111.89,33.12
fulvescens,-110.93,32.34
fulvescens,-111.06,31.71
fulvescens,-112.71,32.06
fulvescens,-111.38,32.55
fulvescens,-109.77,29.98
fulvescens,-111.2,31.2
fulvescens,-110.94,31.13
fulvescens,-109.38,30.44
fulvescens,-110.7,32.33
fulvescens,-110.62,29.92
fulvescens,-111.11,29.93
fulvescens,-109.27,31.33
fulvescens,-110.87,31.94
fulvescens,-111.58,31.68
fulvescens,-109.9,31.42
fulvescens,-110.8,31.74
fulvescens,-110.49,32.43
fulvescens,-111.11,32.36
fulvescens,-110.5,32.32
fulvescens,-110.67,32.5
fulvescens,-111.67,31.27
