assigned,longitude,latitude
sinuatus,-98.25,28.47
sinuatus,-99.34,27.49
sinuatus,-100.96,29.74
sinuatus,-100.54,28.86
sinuatus,-104.03,29.33
sinuatus,-103.86,30.66
sinuatus,-99.99,28.26
sinuatus,-98.37,29.43
sinuatus,-98.56,26.71
sinuatus,-98.68,30.73
sinuatus,-98.26,29.4
sinuatus,-103.54,31.93
sinuatus,-100.24,31.47
sinuatus,-100.6,26.48
sinuatus,-101.04,26.83
sinuatus,-97.5,27.58
sinuatus,-100.65,29.34
sinuatus,-98.18,28.84
sinuatus,-98.42,27.86
sinuatus,-103.8,30.54
sinuatus,-97.29,25.94
sinuatus,-100.29,29.03
sinuatus,-102.94,30.61
sinuatus,-99.08,29.15
sinuatus,-97.49,25.89
sinuatus,-98.26,26.3
sinuatus,-98.14,26.94
sinuatus,-99.67,27.66
sinuatus,-98.06,27.18
sinuatus,-99.04,30.64
sinuatus,-97.3,26.1
sinuatus,-97.52,28.81
sinuatus,-103.62,29.31
sinuatus,-98.62,28.6
sinuatus,-98.47,26.34
sinuatus,-98.75,27.21
sinuatus,-100,31.73
sinuatus,-98.64,29.24
sinuatus,-98.36,29.26
sinuatus,-104.27,30.62
sinuatus,-103.6,30.28
sinuatus,-101.83,30.69
sinuatus,-103.21,31.09
sinuatus,-101.55,29.8
sinuatus,-102.11,30.04
sinuatus,-99.6,28.15
sinuatus,-103.75,30.78
sinuatus,-98.75,27.35
sinuatus,-100.42,29.3
sinuatus,-99.46,28.98
sinuatus,-99.29,28.54
sinuatus,-98.18,28.63
sinuatus,-100.59,30.86
sinuatus,-98.39,26.91
sinuatus,-102.95,29.18
sinuatus,-102.9,31.58
sinuatus,-98.36,26.45
sinuatus,-104.36,30.48
sinuatus,-97.95,26.52
sinuatus,-98.41,29.12
sinuatus,-100.55,29.26
sinuatus,-103.44,29.17
sinuatus,-104.19,30.41
sinuatus,-98.14,26.08
sinuatus,-104.68,30.09
sinuatus,-97.95,26.81
