assigned,longitude,latitude
sinuatus,-109.15,31.91
sinuatus,-109.27,31.34
sinuatus,-110.82,32.31
sinuatus,-109.4,31.48
sinuatus,-109.03,31.84
sinuatus,-103.3,21.84
sinuatus,-99.09,28.6
sinuatus,-106.06,31.83
sinuatus,-103.06,29.82
sinuatus,-98.93,29.72
sinuatus,-99.26,26.92
sinuatus,-103.64,30.48
sinuatus,-99.1,26.64
sinuatus,-103.36,29.46
sinuatus,-100.09,31.52
sinuatus,-103.78,30.46
sinuatus,-103.95,30.39
sinuatus,-101.82,30.69
sinuatus,-100.65,31.29
sinuatus,-100.07,29.46
sinuatus,-105.61,26.82
sinuatus,-99.21,26.72
sinuatus,-103.17,29.31
sinuatus,-105.71,31.17
sinuatus,-103.83,30.38
sinuatus,-97.81,26.82
sinuatus,-104.59,30.22
sinuatus,-103.69,30.1
sinuatus,-98.62,27.88
sinuatus,-97.42,28.18
sinuatus,-106.4,29.48
sinuatus,-106.74,29.82
sinuatus,-104.23,32.42
sinuatus,-106.09,28.71
sinuatus,-101.28,29.71
sinuatus,-102.94,29.57
sinuatus,-103.04,22.48
sinuatus,-99.77,30.48
sinuatus,-103.22,22.2
sinuatus,-100.43,31.45
sinuatus,-98.67,29.03
sinuatus,-97.78,26.55
sinuatus,-102.65,29.69
sinuatus,-104.54,24.77
sinuatus,-100.78,25.64
sinuatus,-103.51,25.65
sinuatus,-108.08,30.6
sinuatus,-103.57,29.26
sinuatus,-98.27,29.47
sinuatus,-99.57,24.87
sinuatus,-102.87,26.22
sinuatus,-99.39,27.95
sinuatus,-103.03,29.25
sinuatus,-100.11,30.65
sinuatus,-98.81,26.38
sinuatus,-104.73,31.96
sinuatus,-102.09,30.14
sinuatus,-102.56,30.14
sinuatus,-98.22,26.26
sinuatus,-104.02,29.77
sinuatus,-99.51,26.93
sinuatus,-97.58,27.71
sinuatus,-98.58,29.41
sinuatus,-99.22,28.04
sinuatus,-101.28,20.71
sinuatus,-103.45,29.63
sinuatus,-103.72,30.74
sinuatus,-105.49,27.87
sinuatus,-102.94,29.2
sinuatus,-98.48,29
sinuatus,-97.92,27.78
sinuatus,-99.33,27.66
sinuatus,-109.38,30.44
sinuatus,-98.08,29.07
sinuatus,-98.77,29.29
sinuatus,-98.32,28.97
sinuatus,-103.14,29.18
sinuatus,-103.09,29.09
sinuatus,-110.94,31.13
sinuatus,-98.14,27.22
sinuatus,-98.66,29.23
sinuatus,-111.05,31.61
sinuatus,-97.85,28.81
sinuatus,-97.49,26.12
sinuatus,-97.62,26.46
sinuatus,-104.22,21.87
sinuatus,-102,30
sinuatus,-110.75,31.53
sinuatus,-98.49,29.54
sinuatus,-98.49,29.35
sinuatus,-106.78,32.31
sinuatus,-106.58,32.32
sinuatus,-103.3,29.27
sinuatus,-97.58,26.24
sinuatus,-97.85,26.08
sinuatus,-97.69,26.19
sinuatus,-101.09,29.92
sinuatus,-97.29,32.77
sinuatus,-107.09,33.08
sinuatus,-99.83,28.68
sinuatus,-99.51,27.51
sinuatus,-97.15,28.31
sinuatus,-104.02,30.31
sinuatus,-97.43,27.77
sinuatus,-97.53,28.18
sinuatus,-97.52,28
sinuatus,-100.11,25.5
sinuatus,-111,31.5
sinuatus,-101.12,27.86
sinuatus,-97.06,28.04
sinuatus,-99.2,23.98
sinuatus,-97.21,26.07
sinuatus,-97.5,25.88
sinuatus,-98.12,29.71
sinuatus,-110.9,27.92
sinuatus,-98.07,28.42
sinuatus,-99.09,28.89
sinuatus,-110.12,28.52
sinuatus,-105.78,22.83
sinuatus,-105.63,26.5
sinuatus,-105.38,25.92
sinuatus,-94.42,30.91
sinuatus,-96.11,30.4
sinuatus,-100.32,25.72
sinuatus,-97.75,28.4
sinuatus,-97.15,33.64
sinuatus,-97.74,30.27
sinuatus,-105.17,27.69
sinuatus,-116.8,32.36
sinuatus,-98.46,29.23
sinuatus,-106.27,28.47
sinuatus,-107.98,32.86
sinuatus,-98.75,26.51
sinuatus,-99.42,27.79
sinuatus,-97.45,25.99
sinuatus,-98.46,29.44
sinuatus,-111.53,31.47
sinuatus,-98.72,35.31
sinuatus,-98.52,27.66
sinuatus,-98.64,24.93
sinuatus,-110.97,32.22
sinuatus,-97.68,28.25
