assigned,longitude,latitude
peninsulae,-110.08,32.05
peninsulae,-110.43,24.13
peninsulae,-98.25,28.47
peninsulae,-103.62,29.17
peninsulae,-111.03,31.81
peninsulae,-100.6,25.75
peninsulae,-112.08,33.64
peninsulae,-99.27,27.1
peninsulae,-99.34,27.49
peninsulae,-111.16,33.28
peninsulae,-110.1,23.8
peninsulae,-106.22,31.81
peninsulae,-99.07,28.94
peninsulae,-103.77,22.33
peninsulae,-106.34,31.65
peninsulae,-109.95,31.34
peninsulae,-107.28,24.87
peninsulae,-110.24,31.39
peninsulae,-99.09,26.48
peninsulae,-100.65,26.04
peninsulae,-111.11,30.19
peninsulae,-110.68,32.23
peninsulae,-111.06,32.14
peninsulae,-98.19,28.04
peninsulae,-110.43,31.99
peninsulae,-98.73,26.35
peninsulae,-105.43,28.4
peninsulae,-109.24,26.4
peninsulae,-111.42,33.34
peninsulae,-97.71,27.32
peninsulae,-98.56,26.71
peninsulae,-103.54,31.93
peninsulae,-103.74,26.68
peninsulae,-101.08,25.06
peninsulae,-100.94,29.46
peninsulae,-110.81,32.39
peninsulae,-110.59,28.2
peninsulae,-101.04,26.83
peninsulae,-109.82,23.55
peninsulae,-98.18,28.84
peninsulae,-98.42,27.86
peninsulae,-110.99,31.49
peninsulae,-101.26,33.11
peninsulae,-109.27,32
peninsulae,-97.83,27.97
peninsulae,-109.05,31.81
peninsulae,-98.41,29.14
peninsulae,-109.53,28.46
peninsulae,-110.39,31.68
peninsulae,-100.29,29.03
peninsulae,-102.94,30.61
peninsulae,-108.81,31.77
peninsulae,-106.58,31.85
peninsulae,-107.74,32.27
peninsulae,-108.89,31.69
peninsulae,-107.3,32.85
peninsulae,-107.98,32.59
peninsulae,-110.81,32.3
peninsulae,-111.28,32.47
peninsulae,-97.42,30.22
peninsulae,-107.3,32.98
peninsulae,-99.93,25.86
peninsulae,-105.15,21.58
peninsulae,-110.25,31.56
peninsulae,-110.3,32.19
peninsulae,-97.49,25.89
peninsulae,-98.26,26.3
peninsulae,-98.14,26.94
peninsulae,-99.67,27.66
peninsulae,-110.83,32.09
peninsulae,-98.06,27.18
peninsulae,-97.3,26.1
peninsulae,-97.52,28.81
peninsulae,-101.51,32.07
peninsulae,-107.57,32.92
peninsulae,-109.57,23.6
peninsulae,-103.62,29.31
peninsulae,-111.51,31.59
peninsulae,-97.91,27.52
peninsulae,-112.23,32.74
peninsulae,-110.99,31.96
peninsulae,-98.62,28.6
peninsulae,-110.67,31.46
peninsulae,-96.99,28.13
peninsulae,-98.75,27.21
peninsulae,-98.06,27.79
peninsulae,-100,31.73
peninsulae,-110.29,31.98
peninsulae,-109.96,31.93
peninsulae,-100.74,24.35
peninsulae,-98.36,29.26
peninsulae,-97.72,26.2
peninsulae,-109.54,31.38
peninsulae,-98.68,30.98
peninsulae,-106.05,31.92
peninsulae,-105.55,22.42
peninsulae,-109.28,31.34
peninsulae,-103.21,31.09
peninsulae,-102.11,30.04
peninsulae,-99.6,28.15
peninsulae,-110,31.57
peninsulae,-100.42,29.3
peninsulae,-100.54,31.54
peninsulae,-109.72,23.04
peninsulae,-99.46,28.98
peninsulae,-99.29,28.54
peninsulae,-98.18,28.63
peninsulae,-104.44,24.24
peninsulae,-100.59,30.86
peninsulae,-99.17,32.13
peninsulae,-102.9,31.58
peninsulae,-98.15,27.09
peninsulae,-98.08,26.56
peninsulae,-107.85,32.65
