assigned,longitude,latitude
fulvescens,-109.14,31.91
fulvescens,-112.29,29.02
fulvescens,-106.15,23.25
fulvescens,-111,32.24
fulvescens,-111.11,29.93
fulvescens,-110.89,31.74
fulvescens,-111.06,32.32
fulvescens,-111.25,28.05
fulvescens,-106.42,23.22
fulvescens,-111.01,32.11
fulvescens,-109.27,31.33
fulvescens,-111.67,31.27
fulvescens,-110.97,29.07
fulvescens,-110.44,27.77
fulvescens,-111.18,31.43
fulvescens,-111.04,27.96
fulvescens,-109.25,26.35
fulvescens,-110.38,29.4
fulvescens,-106.93,32.5
fulvescens,-110.94,31.13
fulvescens,-109.25,27.23
fulvescens,-110.98,31.85
fulvescens,-110.93,32.34
fulvescens,-110.56,31.91
fulvescens,-109.3,26.95
fulvescens,-109.4,27.15
fulvescens,-110,27.08
fulvescens,-108.7,26.97
fulvescens,-109.93,28.62
fulvescens,-109.62,28.62
fulvescens,-110.58,28.62
fulvescens,-109.72,28.58
fulvescens,-111.2,31.2
fulvescens,-109.97,27.48
fulvescens,-110.9,27.92
fulvescens,-110.74,32.25
fulvescens,-110.86,32.18
fulvescens,-110.87,32.03
fulvescens,-110.87,31.94
fulvescens,-111.59,31.79
fulvescens,-111.58,31.68
fulvescens,-110.97,32.52
fulvescens,-110.5,32.32
fulvescens,-99.25,31.25
fulvescens,-110.33,31.91
fulvescens,-110.62,29.92
fulvescens,-110.71,32.43
fulvescens,-110.22,31.88
fulvescens,-110.49,32.43
fulvescens,-109.9,31.42
fulvescens,-110.17,31.64
fulvescens,-108.94,27.02
fulvescens,-109.77,29.98
fulvescens,-109.72,29.8
fulvescens,-111.55,31.47
fulvescens,-99.13,23.75
fulvescens,-106.97,24.97
fulvescens,-110.82,32.32
fulvescens,-97.4,27.8
