assigned,longitude,latitude
fulvescens,-110.08,32.05
fulvescens,-110.94,32.35
fulvescens,-111.03,31.81
fulvescens,-110.14,31.55
fulvescens,-110.35,31.72
fulvescens,-111.2,32.28
fulvescens,-110.99,31.49
fulvescens,-109.27,32
fulvescens,-110.23,31.39
fulvescens,-110.58,32.88
fulvescens,-110.3,32.19
fulvescens,-110.73,32.61
fulvescens,-112.23,32.74
fulvescens,-110.67,31.46
fulvescens,-109.96,31.93
fulvescens,-111.24,32.04
fulvescens,-109.86,32.81
fulvescens,-110.9,31.8
fulvescens,-109.28,31.34
fulvescens,-110,31.57
fulvescens,-110.94,31.57
fulvescens,-109.86,32.23
fulvescens,-111.07,32.17
fulvescens,-111.55,32.7
fulvescens,-111.41,32.54
fulvescens,-111.05,31.59
fulvescens,-111.09,31.4
fulvescens,-110.1,31.38
fulvescens,-109.71,32.76
fulvescens,-109.7,31.46
fulvescens,-109.66,31.64
fulvescens,-110.37,31.54
fulvescens,-111.74,32.5
fulvescens,-109.12,31.91
fulvescens,-110.89,32.6
fulvescens,-109.92,32.02
fulvescens,-110.93,31.68
fulvescens,-109.1,31.73
fulvescens,-110.62,31.66
fulvescens,-111.19,31.43
fulvescens,-109.75,32.07
fulvescens,-110.74,31.54
fulvescens,-110.25,31.55
fulvescens,-110.45,32.15
fulvescens,-110.67,31.91
fulvescens,-111.2,32.82
fulvescens,-111.27,32.47
fulvescens,-111.03,31.93
fulvescens,-110.21,31.89
fulvescens,-110.32,31.45
fulvescens,-109.97,33.01
fulvescens,-109.7,31.73
fulvescens,-109.8,31.98
fulvescens,-111.18,31.89
fulvescens,-111.4,32.65
fulvescens,-111.2,32.56
fulvescens,-110.63,32.15
fulvescens,-111.09,32.69
fulvescens,-109.72,32.21
fulvescens,-110.69,31.74
fulvescens,-111.24,31.52
fulvescens,-110.54,32.62
fulvescens,-110.76,32.17
fulvescens,-111.36,32.01
fulvescens,-111.24,32.17
fulvescens,-110.51,31.59
fulvescens,-111.41,32.95
fulvescens,-110.32,31.97
fulvescens,-110.52,31.69
fulvescens,-110.69,32.05
fulvescens,-111.33,31.82
fulvescens,-110.81,32.39
fulvescens,-112.73,32.07
fulvescens,-110.69,32.37
fulvescens,-110.98,32.45
fulvescens,-111.13,32.46
fulvescens,-110.07,31.72
fulvescens,-110.68,32.23
fulvescens,-109.51,31.35
fulvescens,-111.63,33.17
fulvescens,-109.72,31.56
fulvescens,-110.89,32.51
fulvescens,-109.95,31.34
fulvescens,-111.43,33.1
fulvescens,-110.81,32.3
fulvescens,-109.76,32.57
fulvescens,-111.5,32
fulvescens,-111.09,32.55
fulvescens,-110.05,31.47
fulvescens,-109.79,31.41
fulvescens,-110.87,31.38
fulvescens,-110.43,31.96
fulvescens,-111.5,31.6
fulvescens,-111.05,32.27
fulvescens,-110.22,31.72
fulvescens,-109.7,31.87
fulvescens,-110.07,32.33
fulvescens,-109.59,32.27
fulvescens,-110.85,31.49
fulvescens,-110.35,31.83
fulvescens,-109.92,32.11
fulvescens,-111.32,31.59
fulvescens,-112.62,32.53
fulvescens,-109.88,32.43
fulvescens,-109.63,31.37
fulvescens,-112.17,33.23
fulvescens,-110.98,31.4
fulvescens,-109.24,31.13
fulvescens,-109.41,31.31
fulvescens,-111.07,32.03
fulvescens,-110.46,31.84
fulvescens,-109.22,31.88
fulvescens,-110.54,32.22
fulvescens,-109.9,31.43
fulvescens,-110.4,31.28
fulvescens,-110.59,31.8
fulvescens,-109.11,31.82
fulvescens,-109.53,31.91
fulvescens,-109.45,32.16
fulvescens,-109.38,31.93
fulvescens,-110.8,31.74
fulvescens,-110.56,31.91
fulvescens,-111.13,32.37
fulvescens,-111.59,31.79
fulvescens,-112.08,33.18
fulvescens,-109.18,32.21
fulvescens,-110.49,32.43
fulvescens,-111.89,33.12
fulvescens,-110.93,32.11
fulvescens,-111.06,31.71
fulvescens,-111.34,32.24
fulvescens,-110.94,31.13
fulvescens,-111.67,31.27
fulvescens,-111.2,31.2
fulvescens,-111.58,31.68
fulvescens,-110.5,32.32
fulvescens,-111.54,31.49
fulvescens,-110.93,32.22
fulvescens,-110.17,31.64
fulvescens,-110.87,32.03
fulvescens,-110.87,31.94
fulvescens,-110.67,32.5
