assigned,longitude,latitude
sinuatus,-99.07,28.94
sinuatus,-98.29,29.41
sinuatus,-98.56,26.71
sinuatus,-98.18,28.84
sinuatus,-98.14,26.94
sinuatus,-99.67,27.66
sinuatus,-98.06,27.18
sinuatus,-97.52,28.81
sinuatus,-97.91,27.52
sinuatus,-98.62,28.6
sinuatus,-98.75,27.21
sinuatus,-98.36,29.26
sinuatus,-99.6,28.15
sinuatus,-98.75,27.35
sinuatus,-99.46,28.98
sinuatus,-99.29,28.54
sinuatus,-98.18,28.63
sinuatus,-98.39,26.91
sinuatus,-98.41,29.12
sinuatus,-97.08,27.84
sinuatus,-99.64,29.3
sinuatus,-99.8,28.81
sinuatus,-97.75,29.11
sinuatus,-97.34,27.67
sinuatus,-98.69,27.81
sinuatus,-99.53,29.28
sinuatus,-99.16,29.74
sinuatus,-98.07,26.56
sinuatus,-97.87,27.26
sinuatus,-99.72,29.49
sinuatus,-99.22,27.62
sinuatus,-98.94,27.17
sinuatus,-98.62,28.99
sinuatus,-98.41,27.41
sinuatus,-98.54,26.55
sinuatus,-99.21,26.87
sinuatus,-98.01,26.47
sinuatus,-98.27,26.92
sinuatus,-97.7,26.66
sinuatus,-98.72,27.03
sinuatus,-98.14,26.48
sinuatus,-98.13,28.99
sinuatus,-98.47,29.65
sinuatus,-98.31,28.78
sinuatus,-99.83,29.17
sinuatus,-99.14,28.87
sinuatus,-97.17,28.63
sinuatus,-97.82,27.34
sinuatus,-97.94,28.71
sinuatus,-98.62,28.87
sinuatus,-97.61,27.86
sinuatus,-98.45,26.72
sinuatus,-98.6,26.9
sinuatus,-98.59,27.12
sinuatus,-96.98,28.13
sinuatus,-97.7,26.77
sinuatus,-98.58,27.41
sinuatus,-98.47,27.53
sinuatus,-98.27,27.26
sinuatus,-98.36,28.52
sinuatus,-98.13,29.16
sinuatus,-97.84,28.38
sinuatus,-97.45,26.54
sinuatus,-99.26,29.66
sinuatus,-96.81,28.3
sinuatus,-99.41,28.31
sinuatus,-98.12,26.8
sinuatus,-98.88,27.44
sinuatus,-98.74,28.84
sinuatus,-98.9,29.15
sinuatus,-97.17,29.76
sinuatus,-97.35,29.12
sinuatus,-96.84,29.34
sinuatus,-98.87,26.47
sinuatus,-97.65,29.65
sinuatus,-99.52,27.76
sinuatus,-98.81,28.77
sinuatus,-98.09,27.96
sinuatus,-98.19,28.04
sinuatus,-98.23,29.57
sinuatus,-97.98,27.88
sinuatus,-99.34,27.49
sinuatus,-99.36,27.2
sinuatus,-98.03,27.47
sinuatus,-97.13,27.73
sinuatus,-99.36,27.9
sinuatus,-99.82,28.68
sinuatus,-97.79,27.43
sinuatus,-97.88,28.06
sinuatus,-97.33,27.86
sinuatus,-99.36,28.04
sinuatus,-98.65,26.6
sinuatus,-98.84,26.96
sinuatus,-99.43,27.57
sinuatus,-98.07,29.63
sinuatus,-99.84,29.03
sinuatus,-98.75,29.47
sinuatus,-99.08,26.51
sinuatus,-98.65,26.81
sinuatus,-98.63,29.56
sinuatus,-98.85,28.67
sinuatus,-97.22,27.63
sinuatus,-99.78,29.29
sinuatus,-98.99,26.47
sinuatus,-99.68,29.77
sinuatus,-98.23,28.47
sinuatus,-98.56,28.34
sinuatus,-99.5,28.69
sinuatus,-98.66,27.28
sinuatus,-98.2,27.65
sinuatus,-98.24,27.95
sinuatus,-98.72,29.33
sinuatus,-98.91,28.79
sinuatus,-98.75,26.62
sinuatus,-99.23,28.42
sinuatus,-97.74,27.22
sinuatus,-98.91,26.84
sinuatus,-98.52,27.28
sinuatus,-99.3,28.69
sinuatus,-99.67,26.81
sinuatus,-96.26,29.74
sinuatus,-98.09,28.79
sinuatus,-99.29,26.94
sinuatus,-98.71,29.78
sinuatus,-97.95,29.5
sinuatus,-96.47,28.82
sinuatus,-98.64,28.51
sinuatus,-96.94,28.29
sinuatus,-98.01,29.21
sinuatus,-98.2,27.19
sinuatus,-99.65,29
sinuatus,-99.47,29.12
sinuatus,-98.38,28.43
sinuatus,-99.71,29.18
sinuatus,-97.22,28.04
sinuatus,-99.11,28.17
sinuatus,-98.14,27.05
sinuatus,-97.81,27.98
sinuatus,-97.84,28.16
sinuatus,-98.41,26.57
sinuatus,-97.69,27.93
