assigned,longitude,latitude
peninsulae,-110.103063,23.802121
peninsulae,-109.56841,23.596691
peninsulae,-109.734955,23.800869
peninsulae,-104.412025,23.45919
peninsulae,-110.15711,23.281315
peninsulae,-104.43612,24.2226
peninsulae,-109.42681,23.443459
peninsulae,-106.600746,23.459093
peninsulae,-109.43999,23.247047
peninsulae,-110.1007915288,24.0056107385
peninsulae,-107.9856102993,24.6511326919
peninsulae,-106.4418966111,23.9429233333
peninsulae,-109.7973455116,22.9772281477
peninsulae,-110.4288222351,24.132633749
peninsulae,-109.9254638539,23.650932667
peninsulae,-104.5806286857,24.1339444818
peninsulae,-110.8838274166,23.9905730898
peninsulae,-109.6705292252,23.3663918045
peninsulae,-110.0073116279,22.9646235291
peninsulae,-107.3228483333,24.8620683333
peninsulae,-110.1045144349,23.0530804627
peninsulae,-109.502937533,23.3481950757
peninsulae,-109.7100138889,23.1508222222
peninsulae,-110.1538422646,22.8368864591
peninsulae,-107.4499677341,24.7912384657
peninsulae,-106.5900038419,23.6819583151
peninsulae,-106.2743911147,23.7511919836
peninsulae,-106.4926465,23.3058584722
peninsulae,-107.4396586084,24.8961742956
peninsulae,-106.0438781725,23.261822727
peninsulae,-105.9192679077,23.2398809194
peninsulae,-106.2656984676,23.6524476413
peninsulae,-106.42404,23.193082
peninsulae,-106.7681243074,23.7232465005
peninsulae,-109.7341537583,23.4611078948
peninsulae,-110.08512217,23.172395
peninsulae,-106.505791116,23.8574356171
peninsulae,-109.6915983333,23.0557633333
peninsulae,-110.0831683333,24.20941
peninsulae,-109.8240985002,23.5500465358
peninsulae,-109.6678555556,23.6404333333
peninsulae,-106.5736599124,23.5886271021
peninsulae,-106.6410255432,24.1140114086
peninsulae,-104.6531759,24.0277202
peninsulae,-106.2753983333,23.23306
peninsulae,-106.8267631531,23.8733666824
peninsulae,-104.3756103,23.5476219
peninsulae,-104.267967,23.867535
peninsulae,-104.53245,24.054307
peninsulae,-106.46778,23.558617
peninsulae,-106.148796,23.2521247
peninsulae,-109.77054,23.2571128
peninsulae,-110.5916667,24.877778
peninsulae,-110.227306,24.154587
peninsulae,-110.0967,23.5451
peninsulae,-110.300554,24.045405
peninsulae,-109.883333,22.866667
peninsulae,-110.20055,23.75042
peninsulae,-109.966667,23.5
peninsulae,-110.144882748,23.8944384461
peninsulae,-109.7779200157,23.3679591787
peninsulae,-109.4986130556,23.1590897222
peninsulae,-109.9981289729,23.0705106115
peninsulae,-110.2659583333,23.4834111111
peninsulae,-109.6704030556,23.5385780556
peninsulae,-110.2082666667,23.3892966667
peninsulae,-109.979882,23.763194
