"name"	"longitude"	"latitude"	"subspecies"
"Geococcyx californianus (Lesson, 1829)"	-111.281532	31.580669	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.067646	33.09321	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.253378	34.506337	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.721722	30.971352	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.735907	33.362546	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.546959	33.83131	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.906603	34.809187	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.018575	32.933975	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-109.779319	35.067075	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-112.349535	33.755971	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.265747	33.965365	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.392762	35.817966	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-119.535462	36.866037	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.350372	32.293095	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.617623	35.099515	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.6258	35.079395	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-112.029214	33.415662	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.166267	34.515666	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.853167	32.328257	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.861552	28.042211	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.506047	22.476909	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.296545	29.281445	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.864625	33.640625	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.657243	35.119632	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.604766	32.719591	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.841644	33.661765	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.891791	36.867016	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.706856	32.235747	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.881234	31.912022	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.302537	29.270855	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-100.474932	26.557615	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.076758	27.967238	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.770103	32.497967	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.855184	32.328879	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.316887	33.750437	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.075494	27.96775	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.876152	33.554169	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.406383	33.669835	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.396463	33.264064	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.855946	33.585943	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.657243	35.119632	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.657243	35.119632	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.888237	30.199833	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-98.230316	29.864365	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.189522	32.92483	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.111789	36.068451	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-100.472245	21.633725	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.715822	32.2005	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-121.137222	36.512222	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-113.597038	37.079486	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.619176	31.839683	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-113.568416	37.096468	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.982933	33.372192	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-109.622395	23.613716	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.561714	31.822294	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.598374	35.066056	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.87443	30.184541	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.003418	32.127741	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.301192	29.27035	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.138734	29.180462	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.991808	33.35981	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-112.134675	33.80305	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.187988	33.743337	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.930192	32.36	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-98.253634	28.469325	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.970637	29.185882	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.971207	29.185733	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.983413	33.443867	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.353331	33.773633	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.657055	35.119363	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-109.568371	37.31199	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-112.419193	34.589998	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-112.419236	34.590037	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.766298	30.175551	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.822876	32.310028	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.492645	33.79195	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-105.928864	28.837072	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.682878	35.129208	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.53672	33.81075	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.764908	32.822903	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.887887	33.652858	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-118.956144	34.151983	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.9544	29.180163	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-121.135826	36.515667	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.103713	32.540506	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-98.097131	34.318849	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.265047	36.321223	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-109.028056	31.839131	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.018308	36.102614	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.766364	33.781103	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.511838	29.418159	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.4088	33.7804	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-112.060947	33.340337	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-109.69327	23.053025	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.727358	33.547847	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.098888	32.897337	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.721215	33.548791	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-121.170487	37.086222	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.001573	36.076672	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.735413	33.363567	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.305376	33.658497	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.735467	33.363547	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-119.272944	34.346005	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-119.953947	34.616547	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.996943	36.077385	"unknown"
