"name"	"longitude"	"latitude"	"subspecies"	"californianus"	"numSubsppGroups"	"assigned"
"Geococcyx velox (Wagner, 1836)"	-104.33	19.67	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.57	20.58	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.8	16.55	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.32	16.69	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.84	15.42	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.8	16.56	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.4	15.57	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-92.14	16.27	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-95	16.61	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.47	20.6	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.62	20.84	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.77	14.77	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.98	21.44	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.13	13.96	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.76	14.88	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.78	17.08	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-85.96	12.72	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.22	20.69	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.62	17.8	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.45	16.83	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-97.61	18.47	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-97.31	18.72	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-109.2	28.97	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.91	16.59	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-100.4	19.08	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.72	16.55	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.47	20.69	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-97.51	18.33	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.37	13.24	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.51	14.32	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-106.44	23.3	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.98	16.4	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.39	20.77	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-101.02	19.61	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.52	17.03	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.14	16.72	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.63	21.15	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.19	13.96	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.45	17.31	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.19	13.98	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.13	16.71	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-90.24	20.85	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.76	17.16	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.12	21.33	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.46	20.63	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.43	20.29	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.86	21.01	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-88.78	14.87	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.75	17.13	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-104.03	20.71	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.1	14.01	"velox"	1	1	"californianus"
