assigned,longitude,latitude
velox,-88.78,14.87
velox,-87.1,14.01
velox,-89.77,19.41
velox,-89.64,20.87
velox,-89.35,21.31
velox,-103.02,19.99
velox,-95.17,16.83
velox,-88.77,21.35
velox,-89.6,21.15
velox,-91.91,15.39
velox,-92.54,16.56
velox,-90.05,20.31
velox,-90.2,20.82
velox,-89.64,14.97
velox,-89.11,14.45
velox,-88.17,13.81
velox,-103.45,19.79
velox,-95,16.61
velox,-86.4,15.57
velox,-103.32,19.88
velox,-94.77,16.71
velox,-103.08,19.71
velox,-87.72,14.43
velox,-101.73,19.65
velox,-95.1,16.76
velox,-93.07,16.92
velox,-87.72,14.53
velox,-102.03,19.44
velox,-93.37,16.76
velox,-96,17.25
velox,-88.87,14.8
velox,-101.79,19.81
velox,-101.42,19.56
velox,-90.22,15.78
velox,-102.92,19.64
velox,-90.03,14.93
velox,-89.02,21.37
velox,-89.02,20.93
velox,-101.6,19.63
velox,-88.25,13.25
velox,-94.62,16.57
velox,-87.98,21.44
velox,-89.12,21.33
velox,-89.61,21.25
velox,-87.23,13.86
velox,-93.16,17.14
velox,-93.48,16.81
velox,-90.42,14.66
velox,-90.74,14.49
velox,-93.7,16.65
velox,-88.77,14.67
velox,-89.83,21.23
velox,-89.32,21.13
velox,-89.79,14.86
velox,-91.4,15.34
velox,-92.58,16.73
velox,-92.11,16.14
velox,-102.38,19.86
velox,-96.24,17.24
velox,-87.5,20.82
velox,-87.15,14.26
velox,-91.2,15.76
velox,-91.13,15.38
velox,-96.19,17.16
velox,-96.17,17.31
velox,-91.83,15.74
velox,-91.39,15.93
velox,-91.31,15.83
velox,-89.57,14.77
velox,-86.86,15.07
velox,-90.61,14.51
velox,-87.66,14.05
velox,-95.87,16.67
velox,-93.32,16.4
velox,-96.46,17.11
velox,-93.96,16.76
velox,-94.1,16.84
velox,-86.89,14.32
velox,-92.19,16.33
velox,-93.19,15.91
velox,-87.69,21.48
velox,-88,14.49
velox,-88.54,14.42
velox,-88.47,20.62
velox,-90.31,19.9
velox,-89.58,14.45
velox,-88.09,14.91
velox,-94.62,16.46
velox,-103.03,20.34
velox,-87.48,15.23
velox,-93.77,16.43
velox,-87.6,14.37
velox,-88.3,14.2
velox,-90.53,14.65
velox,-89.54,15
velox,-90.46,15.28
velox,-87.14,13.91
velox,-91.58,16.03
velox,-95.42,16.74
velox,-89.95,21.07
velox,-91.74,15.3
velox,-89.59,20.79
velox,-89.09,21
velox,-88.83,20.51
velox,-91.14,14.52
velox,-95.16,16.49
velox,-86.93,13.87
velox,-101.45,19.81
velox,-89.63,19.72
velox,-94.85,16.76
velox,-90.32,14.87
velox,-91.48,14.89
velox,-91.24,15.22
velox,-87.39,14.14
velox,-88.85,14.05
velox,-91.68,16.11
velox,-88.67,14.78
velox,-87.73,20.49
velox,-92.86,16.58
velox,-88.64,14.88
velox,-91.7,16.02
velox,-90.39,20.18
velox,-87.97,14.27
velox,-88.83,14.4
