"name"	"longitude"	"latitude"	"subspecies"	"californianus"	"velox"	"numSubsppGroups"	"assigned"
"Geococcyx californianus (Lesson, 1829)"	-111.28	31.58	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-97.07	33.09	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-114.25	34.51	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111.74	33.36	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.55	33.83	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111.91	34.81	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.02	32.93	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-109.78	35.07	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-112.35	33.76	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.27	33.97	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111.35	32.29	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-106.62	35.1	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-106.63	35.08	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-112.03	33.42	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.17	34.52	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.85	32.33	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111.86	33.64	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-106.66	35.12	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.84	33.66	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.71	32.24	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111.88	31.91	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-100.47	26.56	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.86	32.33	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.32	33.75	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111.88	33.55	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.41	33.67	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.4	33.26	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.86	33.59	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-97.89	30.2	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-98.23	29.86	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.19	32.92	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.72	32.2	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-106.62	31.84	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111.98	33.37	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-106.56	31.82	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-106.6	35.07	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-97.87	30.18	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111	32.13	"unknown"	1	0	1	"californianus"
