"name"	"longitude"	"latitude"	"subspecies"	"californianus"	"velox"	"numSubsppGroups"	"assigned"
"Geococcyx californianus (Lesson, 1829)"	-111.28	31.58	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.07	33.09	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-114.25	34.51	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.72	30.97	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.74	33.36	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.55	33.83	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.91	34.81	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.02	32.93	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.78	35.07	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.35	33.76	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.27	33.97	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.39	35.82	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-119.54	36.87	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.35	32.29	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.62	35.1	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.63	35.08	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.03	33.42	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.17	34.52	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.85	32.33	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.86	28.04	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.51	22.48	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.3	29.28	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.86	33.64	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.66	35.12	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-114.6	32.72	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.84	33.66	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.89	36.87	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.71	32.24	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.88	31.91	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.3	29.27	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-100.47	26.56	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-114.08	27.97	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-114.77	32.5	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.86	32.33	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.32	33.75	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.88	33.55	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.41	33.67	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.4	33.26	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.86	33.59	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.89	30.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.23	29.86	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.19	32.92	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-115.11	36.07	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-100.47	21.63	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.72	32.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-121.14	36.51	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.6	37.08	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.62	31.84	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.57	37.1	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.98	33.37	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.62	23.61	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.56	31.82	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.6	35.07	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.87	30.18	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111	32.13	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.14	29.18	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.99	33.36	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.13	33.8	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.19	33.74	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.93	32.36	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.25	28.47	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.97	29.19	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.98	33.44	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.35	33.77	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.57	37.31	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.42	34.59	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.77	30.18	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.82	32.31	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.49	33.79	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-105.93	28.84	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.68	35.13	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.54	33.81	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.76	32.82	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.89	33.65	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-118.96	34.15	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.95	29.18	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-121.14	36.52	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.1	32.54	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.1	34.32	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-115.27	36.32	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.03	31.84	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-115.02	36.1	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.77	33.78	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.51	29.42	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.41	33.78	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.06	33.34	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.69	23.05	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.73	33.55	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.1	32.9	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.72	33.55	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-121.17	37.09	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-115	36.08	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.31	33.66	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-119.27	34.35	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-119.95	34.62	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.36	33.24	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-118.39	34.46	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.02	32.23	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-120.6	35.86	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.54	33.82	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.07	28.94	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.93	34.91	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.81	28	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.76	33.78	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.23	32.4	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.14	26.58	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.51	35.04	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.7	24.78	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.95	22.89	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.79	33.27	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.25	33.14	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.69	24.8	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.19	34.43	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-115.35	32.55	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.85	33.64	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-100.47	25.18	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.74	30.27	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.56	32.93	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.48	33.15	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-115.76	33.9	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.05	34.42	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.48	33.83	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.86	22.93	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.9	27.52	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.12	29.99	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-100.16	25.86	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-100.11	25.9	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.5	29.42	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.38	33.75	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.78	33.65	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.5	33.57	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.11	31.37	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-114.53	37.61	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.64	35.19	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-119.14	35.35	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.86	33.65	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.28	33.17	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.31	27.15	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.86	33.6	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.51	35.14	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.81	29.87	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.29	33.77	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.24	23.46	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.12	32.29	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.88	33.65	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.28	33.64	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.7	33.92	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-96.44	33.04	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-92.4	36.32	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-96.78	33.73	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-96.56	33.08	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.39	33.24	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-114.61	32.73	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.76	34.12	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.31	33.21	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.96	29.18	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.69	35.19	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.43	25.6	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.42	32.98	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.99	32.73	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.15	26.59	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-108.85	35.07	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.53	33.81	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.85	33.59	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.92	32.42	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-115.64	33.15	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.61	35.09	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.38	33.26	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-119.76	34.46	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.31	31.64	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.72	33.25	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.22	32.66	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.85	33.66	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.76	30.47	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.31	33.65	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.7	34.94	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-121.1	37.08	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-115.12	36.06	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.77	32.18	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-100.51	26.56	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-121.3	36.8	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-117.16	34.02	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.83	32.23	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.3	32.68	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-105.42	28.3	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.78	33	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.7	30.28	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-116.32	33.18	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.71	33.6	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.77	33.29	"unknown"	0	0	0	"none"
"Geococcyx velox (Wagner, 1836)"	-104.33	19.67	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.81	32.32	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-118.81	34.22	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.21	37.2	"unknown"	0	0	0	"none"
