assigned,longitude,latitude
californianus,-118.96,34.15
californianus,-116.42,32.98
californianus,-116.02,34
californianus,-116.48,33.9
californianus,-110.93,32.13
californianus,-117.05,34.04
californianus,-110.64,32.6
californianus,-116.65,33.98
californianus,-119.05,35.38
californianus,-117.39,33.98
californianus,-115.62,33.18
californianus,-112.86,32.44
californianus,-119.24,35.31
californianus,-118.36,35.05
californianus,-116.56,33.83
californianus,-119.89,35.29
californianus,-112.76,32.2
californianus,-110.96,31.39
californianus,-111.51,31.59
californianus,-112.82,31.89
californianus,-112.91,32.09
californianus,-111.08,32.13
californianus,-116.36,33.9
californianus,-118.35,34.87
californianus,-117.16,33.15
californianus,-115.39,33.74
californianus,-110.75,31.79
californianus,-117.38,33.21
californianus,-116.38,34.78
californianus,-116.55,33.16
californianus,-117.42,34.42
californianus,-118.2,34.68
californianus,-117.85,34.47
californianus,-110.58,31.44
californianus,-115.72,34.22
californianus,-110.94,31.67
californianus,-110.69,31.97
californianus,-116.3,32.95
californianus,-111.07,31.39
californianus,-117.35,33.65
californianus,-117.07,33.56
californianus,-111.67,32.68
californianus,-111.6,31.54
californianus,-110.6,32.15
californianus,-110.72,32.34
californianus,-119.8,34.42
californianus,-116.17,34.01
californianus,-116.45,32.84
californianus,-117.32,34.19
californianus,-116.35,33.16
californianus,-117.2,34.48
californianus,-111.38,32.56
californianus,-110.85,31.58
californianus,-116.95,33.34
californianus,-111.13,32.05
californianus,-110.76,32.15
californianus,-117.3,33.05
californianus,-116.44,33.61
californianus,-117.26,33.98
californianus,-115.82,34.16
californianus,-111.24,31.45
californianus,-111.32,31.57
californianus,-110.89,31.76
californianus,-111.32,31.82
californianus,-118.62,34.47
californianus,-117.54,33.56
californianus,-117.76,33.8
californianus,-115.53,35.04
californianus,-117.52,34.16
californianus,-117.62,33.44
californianus,-112.76,32.08
californianus,-115.9,33.87
californianus,-119.17,34.92
californianus,-118.49,34.22
californianus,-116.45,33.99
californianus,-110.73,31.55
californianus,-119.78,34.56
californianus,-116.56,34.05
californianus,-111.88,31.91
californianus,-118.79,34.22
californianus,-110.84,32.32
californianus,-116.78,33
californianus,-116.34,33.3
californianus,-111.23,32.4
californianus,-119.27,34.35
californianus,-116.78,32.85
californianus,-111.35,32.29
californianus,-117.21,33.69
californianus,-115.42,34
californianus,-118.86,35.44
californianus,-119.3,34.45
californianus,-118.89,34.03
californianus,-116.83,33.08
californianus,-115.84,33.33
californianus,-116.64,33.63
californianus,-110.71,32.23
californianus,-115.73,33.1
californianus,-110.96,32.34
californianus,-111.07,32.46
californianus,-111.15,32.53
californianus,-118.36,34.66
californianus,-117.83,33.73
californianus,-117.79,33.46
californianus,-111.39,32.65
californianus,-119.76,35.33
californianus,-118.45,35.13
californianus,-117.26,33.24
californianus,-116.61,34.94
californianus,-118.11,34.05
