assigned,longitude,latitude
velox,-87.1,14.01
velox,-88.13,13.96
velox,-88.77,14.77
velox,-87.58,14.8
velox,-87.7,14.53
velox,-87.38,14.11
velox,-95.31,16.77
velox,-89.18,14.38
velox,-89.1,14.43
velox,-88.22,13.77
velox,-96.03,16.62
velox,-95,16.61
velox,-88.78,14.87
velox,-96.36,16.83
velox,-86.87,13.96
velox,-95.22,16.87
velox,-88.77,14.67
velox,-88.07,14.21
velox,-96.25,17.24
velox,-96.19,17.16
velox,-89.57,14.77
velox,-95.87,16.67
velox,-86.89,14.32
velox,-88,14.49
velox,-89.58,14.45
velox,-94.62,16.46
velox,-87.6,14.37
velox,-88.3,14.2
velox,-89.01,14.37
velox,-88.57,14.59
velox,-87.14,13.91
velox,-95.42,16.74
velox,-88.06,14.07
velox,-86.93,13.87
velox,-94.85,16.76
velox,-88.52,14.51
velox,-88.85,14.05
velox,-88.67,14.78
velox,-88.64,14.88
velox,-88.64,14.53
velox,-87.97,14.27
velox,-88.83,14.4
velox,-89.55,14.99
velox,-95.83,16.98
velox,-87.37,14.91
velox,-87,14.3
velox,-86.43,13.66
velox,-96.15,16.68
velox,-87.88,14.12
velox,-88.82,14.55
velox,-87.92,14.89
velox,-96.59,17.2
velox,-96.18,16.83
velox,-96.33,16.74
velox,-96.27,16.67
velox,-87.49,14.57
velox,-86.26,13.97
velox,-87.81,14.57
velox,-87.9,14.49
velox,-89.49,14.37
velox,-88.87,14.65
velox,-88.41,14.73
velox,-89.27,14.45
velox,-88.11,14.96
velox,-87.73,14.7
velox,-88.97,14.48
velox,-87.31,13.94
velox,-87.86,14.03
velox,-87.87,14.31
velox,-87.76,14.32
velox,-87.66,14.06
velox,-88.01,13.91
velox,-88.5,14.23
velox,-87.03,13.95
velox,-87.97,14.65
velox,-86.17,14.72
velox,-94.81,16.48
velox,-94.72,16.45
velox,-95.04,16.48
velox,-94.79,16.65
velox,-89.57,13.7
velox,-86.63,14.57
velox,-86.71,14.98
velox,-94.93,16.49
velox,-96.51,17.56
velox,-88.92,14.15
velox,-89.42,14.59
velox,-96.06,17.09
velox,-88.56,14.74
velox,-88.44,14.96
velox,-89.4,14.41
velox,-88.42,14.61
velox,-95.52,16.69
velox,-87.86,13.9
velox,-87.24,13.87
velox,-87.63,14.18
velox,-95.66,16.41
velox,-86.82,14.75
velox,-87.87,14.64
velox,-87.43,14.64
velox,-96.2,17.33
velox,-95.59,16.77
velox,-88.61,14.43
velox,-88.71,14.42
velox,-86.58,14.13
velox,-87.69,13.91
velox,-88.31,14.63
velox,-86.38,13.74
velox,-85.91,14.89
velox,-96.38,17.02
velox,-87.69,15
velox,-87.02,13.64
velox,-86.01,14.78
velox,-88.15,14.52
velox,-86.43,14.58
velox,-88.53,14.99
velox,-87.67,14.83
velox,-89.16,14.81
velox,-88.91,14.29
velox,-87.09,14.68
velox,-88.38,14.36
velox,-88.37,14.08
velox,-87.7,14.25
velox,-88.17,14.86
velox,-87.37,13.87
velox,-89.1,14.89
velox,-85.63,14.28
velox,-85.81,14.1
velox,-87,13.76
velox,-87.04,14.14
velox,-87.17,13.75
velox,-87.42,14.35
velox,-86.68,14.03
velox,-86.85,14.41
velox,-86.85,14.62
velox,-86.57,14.86
velox,-86.37,14.69
velox,-85.7,14.14
velox,-87.15,14.8
velox,-94.35,16.4
velox,-86.48,13.76
velox,-86.82,13.82
velox,-88.16,14.31
velox,-87.42,14.25
velox,-86.2,13.86
velox,-86.24,13.76
velox,-95.93,16.53
velox,-89,14.2
velox,-86.09,13.76
velox,-87.07,14.39
velox,-95.78,16.39
velox,-86.2,13.67
velox,-96.26,16.9
velox,-85.98,13.78
velox,-89.41,14.86
velox,-87.16,14.14
velox,-88.39,13.92
velox,-87.37,13.66
velox,-86.62,13.68
velox,-88.54,14.11
velox,-89.29,13.74
velox,-88.78,14.22
velox,-88.24,14.93
velox,-88.28,13.96
velox,-86.43,14.02
velox,-96.46,17.08
velox,-95.41,16.41
velox,-94.62,16.57
velox,-87.34,14.74
velox,-88.02,14.81
velox,-94.36,16.53
velox,-94.45,16.5
velox,-95.03,16.94
velox,-87.6,14.63
velox,-95,17.22
velox,-87.28,14.12
velox,-87.46,13.9
velox,-95,16.7
velox,-94.98,16.4
velox,-87.51,14.32
velox,-96.56,17
velox,-95.15,16.49
velox,-94.73,16.58
velox,-87.72,14.43
velox,-87.82,14.85
velox,-95.1,16.76
velox,-96.36,16.57
velox,-87.25,14.03
velox,-87.12,14.25
velox,-86.57,14.23
velox,-88.33,14.98
velox,-96.45,16.96
velox,-94.87,16.58
velox,-87.55,14.45
velox,-88.63,14.67
velox,-95.48,16.89
velox,-96.41,17.29
velox,-96.49,17.34
velox,-95.12,16.59
velox,-95.26,16.37
velox,-96,17.25
velox,-87.25,14.28
velox,-88.87,14.8
velox,-95.03,16.83
velox,-89.12,14.28
