"name"	"longitude"	"latitude"	"subspecies"	"californianus"	"velox"	"numSubsppGroups"	"assigned"
"Geococcyx californianus (Lesson, 1829)"	-111.28	31.58	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.55	33.83	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.02	32.93	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.27	33.97	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111.35	32.29	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.17	34.52	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.85	32.33	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.84	33.66	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.71	32.24	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111.88	31.91	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.86	32.33	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.32	33.75	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.41	33.67	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.4	33.26	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.86	33.59	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.19	32.92	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.72	32.2	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111	32.13	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.19	33.74	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.93	32.36	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.35	33.77	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-110.82	32.31	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.49	33.79	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.54	33.81	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.76	32.82	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.89	33.65	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-118.96	34.15	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.77	33.78	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.41	33.78	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.73	33.55	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.1	32.9	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.72	33.55	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.31	33.66	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-119.27	34.35	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.36	33.24	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-118.39	34.46	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-111.02	32.23	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-116.54	33.82	"unknown"	1	0	1	"californianus"
"Geococcyx californianus (Lesson, 1829)"	-117.76	33.78	"unknown"	1	0	1	"californianus"
