"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
-117.89 33.65 16.9346179962158 9.19467449188232 53.4527359008789 298.027923583984 25.0894737243652 7.88796997070312 17.2015037536621 13.8236846923828 20.1843357086182 20.8334579467773 13.5671682357788 319 70 0 99.2183456420898 198 5 11 184 1
-111.23 32.4 20.7939472198486 17.1275196075439 47.1225662231445 762.950378417969 39.1834983825684 2.83675003051758 36.3467483520508 29.7623748779297 24.1281661987305 30.1605834960938 11.6777086257935 283 50 5 57.4084510803223 124 18 99 74 1
-100.47 25.18 12.2139587402344 14.0974998474121 66.752685546875 251.322448730469 22.7137508392334 1.59475004673004 21.1190013885498 14.4561672210693 11.086124420166 14.9154586791992 8.84862518310547 622 99 18 60.5723037719727 288 67 266 74 1
-116.42 32.98 15.2618541717529 14.9367084503174 47.2549781799316 639.580261230469 33.0940017700195 1.4852499961853 31.6087512969971 8.78012466430664 20.4959583282471 23.6192512512207 8.14945793151855 461 83 3 76.2593841552734 240 25 46 219 1
-116.78 33 17.0794696807861 15.6218547821045 53.2650985717773 511.561676025391 33.6095008850098 4.2810001373291 29.3285007476807 11.7944583892822 23.1343765258789 23.9575424194336 11.5070419311523 419 79 2 84.6784820556641 228 14 23 212 1
-98.82 26.49 23.1148853302002 13.1140213012695 44.7772331237793 592.554260253906 36.9010009765625 7.61374998092651 29.2872505187988 27.2402076721191 16.9692916870117 29.7796249389648 15.1870832443237 551 107 17 56.8481559753418 220 72 164 79 1
-111.21 33.81 18.4793853759766 15.6064376831055 42.6006736755371 801.627746582031 38.1085014343262 1.474249958992 36.6342506408691 10.3966665267944 21.5088329315186 28.5279159545898 9.10725021362305 491 61 6 45.2018165588379 166 35 113 160 1
-96.8 32.45 18.6227493286133 12.7083749771118 36.8767547607422 798.18115234375 35.3930015563965 0.931249976158142 34.4617500305176 22.6059989929199 9.59491634368896 28.2196254730225 8.53699970245361 933 129 50 30.2595710754395 306 185 186 186 1
-116.5 33.91 20.6928539276123 17.9526252746582 49.3349685668945 694.102844238281 40.2922515869141 3.90299987792969 36.3892517089844 12.6459999084473 26.6769580841064 29.4347915649414 12.6459999084473 165 29 1 60.0244560241699 76 12 32 76 1
-99.15 26.58 23.18967628479 13.2734794616699 44.2582092285156 617.731994628906 37.40625 7.41525030136108 29.9909992218018 27.5002498626709 16.7725830078125 30.1586666107178 14.9444999694824 543 106 16 56.5112266540527 214 66 163 73 1
-116.61 31.81 16.8082809448242 14.2657785415649 58.3718147277832 369.000366210938 29.892162322998 5.45266437530518 24.4394989013672 13.0781087875366 21.0251312255859 21.9201679229736 12.8743991851807 269 54 1 92.37451171875 158 4 9 143 1
-98.38 29.58 20.0128021240234 12.2148962020874 39.8028450012207 681.717712402344 34.4882507324219 3.79974985122681 30.6885013580322 23.622875213623 12.9258337020874 28.0100002288818 11.2274169921875 836 116 45 34.3318939208984 287 141 220 143 1
-97.36 31.88 18.5258750915527 13.0817499160767 37.9918975830078 781.173706054688 35.3222503662109 0.889249980449677 34.4329986572266 22.4526252746582 8.63041687011719 27.8912086486816 8.63041687011719 855 120 47 31.1348781585693 295 154 201 154 1
-101 25.11 15.4170417785645 16.677583694458 64.6092376708984 335.162750244141 27.8577499389648 2.04474997520447 25.8129997253418 18.3467082977295 14.0172500610352 18.9897079467773 10.9444999694824 474 76 12 56.6728897094727 209 51 182 69 1
-97.46 31.09 19.265510559082 12.3879795074463 37.3266830444336 755.63720703125 35.2752494812012 2.08724999427795 33.1879997253418 23.1132507324219 10.7200002670288 28.2445011138916 9.61279201507568 857 114 43 29.4199733734131 279 172 183 172 1
-94.8 32.01 18.0461044311523 12.6460418701172 39.0270767211914 746.344299316406 33.9099998474121 1.50674998760223 32.4032516479492 21.8505001068115 26.5541667938232 27.0261249542236 8.63758373260498 1172 123 60 17.3045425415039 332 234 240 297 1
-96.24 32.37 18.3579788208008 12.3711252212524 36.4865379333496 786.852905273438 35.0229988098145 1.11699998378754 33.9059982299805 22.1647911071777 27.831958770752 27.831958770752 8.42970848083496 995 125 50 25.4187297821045 308 190 190 222 1
-114.65 30.27 21.6518383026123 14.754656791687 51.6960334777832 547.154357910156 36.6323547363281 8.09117603302002 28.5411796569824 15.3166666030884 22.6897048950195 28.7573528289795 15.3166666030884 75 16 0 67.8594665527344 38 2 15 38 1
-95.73 32.4 18.1587181091309 12.7692289352417 38.1094207763672 766.880065917969 34.5965003967285 1.08975005149841 33.5067520141602 21.9831256866455 27.375207901001 27.375207901001 8.46904182434082 1049 129 48 25.1954860687256 327 196 196 239 1
-111.73 33.36 21.8443336486816 16.7268753051758 45.8940086364746 773.823486328125 40.8250007629395 4.37825012207031 36.4467506408691 14.0812911987305 24.7904586791992 31.3762512207031 12.7232084274292 256 33 2 46.4281387329102 83 16 61 81 1
-98.02 32.33 17.9501361846924 13.9506454467773 39.3363761901855 789.268005371094 35.2337493896484 -0.231250002980232 35.4650001525879 22.0320835113525 9.03733348846436 27.4394569396973 7.93595838546753 796 118 41 33.5712471008301 277 134 197 135 1
-106.35 31.95 16.9390316009521 16.5238132476807 44.6994247436523 793.501525878906 35.349250793457 -1.61724996566772 36.9664993286133 25.6367492675781 16.72487449646 26.6340827941895 7.16670846939087 252 52 5 71.6343536376953 135 21 117 40 1
-110.49 31.29 16.0465202331543 17.1645412445068 50.1678199768066 653.564636230469 33.791748046875 -0.422500014305115 34.2142486572266 23.3971672058105 19.3157920837402 24.1543750762939 8.24125003814697 533 130 6 82.1411209106445 289 35 252 121 1
-100.28 29.44 19.8625106811523 13.7512292861938 42.935359954834 687.117614746094 34.8194999694824 2.79174995422363 32.0277481079102 23.7365417480469 10.9602918624878 27.7870426177979 10.9602918624878 602 78 23 41.5413093566895 208 79 191 79 1
-106.32 34.53 10.8171463012695 17.4261665344238 45.7872428894043 785.253173828125 30.9292507171631 -7.12974977493286 38.0590019226074 19.7449169158936 6.26729154586792 20.6644172668457 1.28575003147125 369 68 15 60.5708618164062 181 50 155 56 1
-114.63 35.13 22.740198135376 14.42356300354 38.3781433105469 880.732177734375 43.0530014038086 5.47025012969971 37.5827522277832 14.217583656311 26.4739589691162 33.8398742675781 12.3462076187134 124 17 1 48.8141860961914 49 10 28 42 1
-103.28 29.22 17.9306564331055 14.4394788742065 47.2492179870605 608.997863769531 32.4022483825684 1.84200000762939 30.5602493286133 24.1844997406006 11.4108753204346 24.9758758544922 10.0618333816528 390 68 8 69.9888458251953 195 32 180 37 1
-97.75 32.52 18.0827922821045 13.7347917556763 38.1307525634766 811.148742675781 35.5752487182617 -0.444999992847443 36.0202484130859 22.2182922363281 7.83312511444092 27.873083114624 7.83312511444092 820 119 41 33.1264877319336 284 139 197 139 1
-97.74 26.79 22.44748878479 10.9032707214355 41.8423156738281 548.514282226562 34.3110008239746 8.25300025939941 26.0580005645752 26.4295425415039 19.5074577331543 28.6797924041748 15.1759166717529 670 131 17 54.753173828125 265 92 194 110 1
-117 32.72 17.8149070739746 13.9961042404175 55.5571823120117 407.118072509766 31.3182506561279 6.12599992752075 25.1922512054443 13.5817089080811 22.4022083282471 23.2298336029053 13.2605829238892 333 65 2 89.5441055297852 191 8 13 172 1
-106.23 35.46 11.6900415420532 17.1685409545898 43.0804824829102 851.681396484375 32.601749420166 -7.25050020217896 39.8522491455078 21.4905414581299 1.38633322715759 22.3394165039062 1.38633322715759 320 57 15 51.170337677002 145 48 130 48 1
-97.23 30.55 19.7006034851074 12.6674575805664 39.0344467163086 724.3056640625 35.4384994506836 2.98650002479553 32.4519996643066 23.3362922668457 12.1196250915527 28.2327499389648 10.41575050354 879 117 45 31.8769569396973 285 174 185 177 1
-116.43 34 20.6928539276123 17.9526252746582 49.3349685668945 694.102844238281 40.2922515869141 3.90299987792969 36.3892517089844 12.6459999084473 26.6769580841064 29.4347915649414 12.6459999084473 165 29 1 60.0244560241699 76 12 32 76 1
