"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
"2:1" -99.07 19.58 15.984354019165 16.1909999847412 69.2389144897461 189.609771728516 26.9212493896484 3.53699994087219 23.3842487335205 17.3356666564941 13.3926248550415 18.058874130249 13.3926248550415 627 128 7 92.3687057495117 363 23 187 23 1
"2:2" -103.57 20.58 18.7106456756592 16.8670406341553 64.1686172485352 251.02311706543 31.5962505340576 5.31075000762939 26.2854995727539 20.8497505187988 18.0130004882812 21.3871669769287 15.306791305542 821 208 3 113.143745422363 546 17 390 35 1
"2:3" -97.45 18.84 12.1979789733887 16.6975002288818 73.6830520629883 145.890686035156 23.210750579834 0.549499988555908 22.6612510681152 12.9561672210693 10.2474164962769 13.9060001373291 10.2474164962769 598 115 7 79.6697387695312 297 28 213 28 1
"2:4" -103.61 22.66 16.7848434448242 18.6583118438721 63.8556861877441 332.096252441406 30.7607498168945 1.54124999046326 29.2194995880127 19.4019584655762 15.2185411453247 20.4726257324219 12.4323749542236 583 149 2 106.085006713867 374 16 246 60 1
"2:5" -88.77 14.77 22.2700939178467 10.5946865081787 67.0327072143555 150.162673950195 30.6975002288818 14.8922500610352 15.8052501678467 22.9130840301514 21.3127498626709 23.9524173736572 20.2729167938232 1426 259 18 75.3137664794922 641 71 441 163 1
"2:6" -97.29 17.45 16.924186706543 14.8923749923706 69.1422424316406 148.276321411133 27.3924999237061 5.85375022888184 21.5387496948242 17.6994171142578 15.0164165496826 18.6948757171631 15.001708984375 644 141 3 93.0112915039062 356 13 241 20 1
"2:7" -101.41 20.7 19.3280620574951 16.7748336791992 62.2136917114258 284.126800537109 32.4532508850098 5.48999977111816 26.9632511138916 21.609375 19.0945835113525 22.6371669769287 15.6363334655762 627 162 4 110.085823059082 409 20 149 28 1
"2:8" -102.14 21.6 17.0964279174805 17.4114799499512 63.5165672302246 288.587341308594 30.3677501678467 2.95525002479553 27.4125003814697 18.9854164123535 16.2570838928223 20.3136253356934 13.2425832748413 584 141 5 104.540641784668 370 23 257 36 1
"2:9" -100.25 19.34 12.6701879501343 13.9652500152588 68.3816909790039 178.179153442383 22.20924949646 1.786749958992 20.4224987030029 14.1523332595825 12.0992918014526 14.4162912368774 10.1635417938232 1042 213 10 93.3546371459961 595 43 464 53 1
"2:10" -100.4 19.08 23.7778129577637 16.0679588317871 64.5552291870117 196.011108398438 36.5800018310547 11.6897497177124 24.890251159668 23.4878330230713 24.3467922210693 26.6070003509521 21.6807079315186 1145 248 4 111.438293457031 722 16 269 25 1
