"name"	"longitude"	"latitude"	"subspecies"	"californianus"	"velox"	"numSubsppGroups"	"assigned"
"Geococcyx californianus (Lesson, 1829)"	-97.39	35.82	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-119.54	36.87	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.51	22.48	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.89	36.87	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-114.08	27.97	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-100.47	21.63	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.6	37.08	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.57	37.1	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.62	23.61	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.57	37.31	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-105.93	28.84	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.1	34.32	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.69	23.05	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.93	34.91	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.95	22.89	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.19	34.43	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.05	34.42	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.86	22.93	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-114.53	37.61	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.24	23.46	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-92.4	36.32	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.76	34.12	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.43	25.6	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-105.42	28.3	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.21	37.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.96	29.08	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.98	23.53	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-94.12	36.06	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-122.09	38.74	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.8	20.69	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.07	21.94	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.09	34.47	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.25	36.72	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.53	37.09	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.19	21.97	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.68	34.97	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.65	37.21	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.05	25.82	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-105.41	38.23	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.67	25.5	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.4	26.94	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-104.86	38.31	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-119.67	37.02	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.8	23.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.55	37.98	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.49	37.97	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.44	37.17	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.57	35.54	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.62	37.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.31	27.06	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.49	26.99	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.14	29.78	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.62	37.09	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-114.37	27.26	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.58	24.58	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.04	24.94	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-118.35	37.02	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.36	24.11	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.69	23.06	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-118.2	37.03	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-93.31	37.17	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.56	26.65	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-105.42	28.28	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.42	36.44	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.44	37.16	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-92.69	36.23	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-100.03	21.87	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.62	33.49	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.43	24.14	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.99	37.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.59	27.22	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.52	22.26	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-92.31	34.96	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.21	23.18	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.04	25.95	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-93.88	36.24	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.5	26.38	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.12	40.16	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.73	33.54	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.15	26.09	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.42	23.21	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.68	35.14	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.07	25.58	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.09	24.45	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.15	26.5	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.68	34.96	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.33	35.08	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.91	33.64	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.18	36.18	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.22	26.45	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.98	37.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.62	22.86	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.7	35.9	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-94.2	35.99	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-104.6	38.87	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-106.12	28.61	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.73	34.93	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.08	25.54	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.64	34.91	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.75	34.12	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-93.6	35.93	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.35	23.93	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-108.82	35.51	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.89	23.79	"unknown"	0	0	0	"none"
"Geococcyx velox (Wagner, 1836)"	-85.96	12.72	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.66	34.94	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.62	27.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-111.05	29	"unknown"	0	0	0	"none"
"Geococcyx velox (Wagner, 1836)"	-109.2	28.97	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.06	34.42	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.51	34.73	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-96.56	36.26	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-114.16	37.47	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.18	23.34	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.53	25.67	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-95.09	35.64	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110	23.76	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.89	22.9	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.33	24.17	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.25	29.85	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.89	22.68	"unknown"	0	0	0	"none"
"Geococcyx velox (Wagner, 1836)"	-86.37	13.24	"unknown"	0	0	0	"none"
"Geococcyx velox (Wagner, 1836)"	-106.44	23.3	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.65	27.1	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.53	34.74	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.17	23.87	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.54	35.72	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-93.28	35.19	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-93.28	35.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.34	26.93	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.68	34.98	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.57	37.12	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.59	37.06	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-112.97	37.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.63	37.09	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.7	25.52	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.01	37.17	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.77	25.24	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.01	37.43	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-98.95	23.41	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.68	22.52	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.56	22.85	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-109.75	23.49	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-105.97	28.55	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.35	24.11	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.59	28.2	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-113.49	37.14	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-104.67	38.01	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-94.89	35.74	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.12	33.71	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.92	35.01	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-105.2	35.52	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.17	25.49	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-102.94	38.08	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-95.22	35.7	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-110.59	28.17	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-99.27	23.44	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-101.08	22.77	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-97.37	35.26	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-100.62	34.83	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-115.91	30.95	"unknown"	0	0	0	"none"
"Geococcyx californianus (Lesson, 1829)"	-103.56	24.22	"unknown"	0	0	0	"none"
