assigned,longitude,latitude
californianus,-117.89,33.65
californianus,-111.23,32.4
californianus,-100.47,25.18
californianus,-116.42,32.98
californianus,-116.78,33
californianus,-98.82,26.49
californianus,-111.21,33.81
californianus,-96.8,32.45
californianus,-116.5,33.91
californianus,-99.15,26.58
californianus,-116.61,31.81
californianus,-98.38,29.58
californianus,-97.36,31.88
californianus,-101,25.11
californianus,-97.46,31.09
californianus,-94.8,32.01
californianus,-96.24,32.37
californianus,-114.65,30.27
californianus,-95.73,32.4
californianus,-111.73,33.36
californianus,-98.02,32.33
californianus,-106.35,31.95
californianus,-110.49,31.29
californianus,-100.28,29.44
californianus,-106.32,34.53
californianus,-114.63,35.13
californianus,-103.28,29.22
californianus,-97.75,32.52
californianus,-97.74,26.79
californianus,-117,32.72
californianus,-106.23,35.46
californianus,-97.23,30.55
californianus,-116.43,34
californianus,-117.63,33.69
californianus,-114.51,32.68
californianus,-100.61,25.71
californianus,-113.89,33.64
californianus,-98.54,30.09
californianus,-94.57,32.7
californianus,-102.64,28.68
californianus,-112.11,33.63
californianus,-112.37,33.38
californianus,-97.75,27.22
californianus,-97.68,29.99
californianus,-95.41,32.38
californianus,-110.94,32.43
californianus,-100.15,25.89
californianus,-100.12,26.4
californianus,-100.5,25.62
californianus,-119.36,35.1
californianus,-98.13,30.48
californianus,-96.5,32.55
californianus,-97.43,32.65
californianus,-95.24,30.36
californianus,-111.8,33.56
californianus,-99.96,33.99
californianus,-97.59,31.71
californianus,-117.3,33.05
californianus,-98.27,29.19
californianus,-112.39,33.47
californianus,-110.14,31.55
californianus,-97.55,32.46
californianus,-98.21,28.71
californianus,-98.58,29.26
californianus,-109.09,31.79
californianus,-100.29,29.03
californianus,-111.8,34.52
californianus,-108.89,31.69
californianus,-117.46,33.82
californianus,-117.01,33.7
californianus,-112.55,34.71
californianus,-98.84,29.74
californianus,-107.62,32.77
californianus,-97.43,25.85
californianus,-112.86,32.44
californianus,-109.73,31.88
californianus,-103.69,35.16
californianus,-112.29,33.52
californianus,-114.22,34.18
californianus,-94.91,33.51
californianus,-110.59,31.41
californianus,-100.33,25.8
californianus,-111.37,34.23
californianus,-118.36,35.05
californianus,-100.54,31.38
californianus,-112.34,33.77
californianus,-118.17,34.19
californianus,-116.56,33.83
californianus,-111.77,34.78
californianus,-114.5,33.7
californianus,-114.36,32.76
californianus,-119.89,35.29
californianus,-101.08,33.05
californianus,-113.18,34.38
californianus,-112.69,33.36
californianus,-101.09,33.47
californianus,-113.81,35.18
californianus,-112.76,32.2
californianus,-112.38,32.86
californianus,-120.51,35.14
californianus,-115.47,32.99
californianus,-111.51,31.59
californianus,-98.3,32.64
californianus,-113.35,32.8
californianus,-98.2,29.86
californianus,-115.64,33.17
californianus,-110.93,31.88
californianus,-114.56,33.62
californianus,-100.34,33.21
californianus,-100.93,32.33
californianus,-114.89,31.17
californianus,-106.2,35.81
californianus,-98.12,26.2
californianus,-111.53,32.6
californianus,-115.67,32.87
californianus,-98.41,29.14
californianus,-99.55,31.68
californianus,-107.72,31.8
californianus,-107.18,32.68
californianus,-104.25,32.34
californianus,-110.45,31.43
californianus,-112.82,31.89
californianus,-112.91,32.09
californianus,-97.61,33.33
californianus,-96.44,28.66
californianus,-111.62,33.29
californianus,-111.08,32.45
californianus,-114.61,32.56
californianus,-104.73,31.93
californianus,-118.35,34.87
californianus,-94.68,32.2
californianus,-116.68,33.89
californianus,-109.7,32.72
californianus,-111.91,32.92
californianus,-111.02,31.82
californianus,-108.82,34.27
californianus,-111.72,33.99
californianus,-99.53,29.28
californianus,-99.19,29.52
californianus,-106.82,34.43
californianus,-115.39,33.74
californianus,-99.02,29.96
californianus,-100.96,29.46
californianus,-103.16,29.64
californianus,-112.97,32.98
californianus,-116.38,34.78
californianus,-98.06,26.46
californianus,-113.02,31.94
californianus,-111.35,31.59
californianus,-97.24,32.94
californianus,-112.37,33.6
californianus,-97.22,33.22
californianus,-98.14,26.07
californianus,-98.94,27.17
californianus,-97.27,31.33
californianus,-106.06,34.67
californianus,-96.19,32.04
californianus,-100.58,31.24
californianus,-97.26,32.04
californianus,-97.47,31.33
californianus,-114.69,32.73
californianus,-95.49,30.78
californianus,-117.47,34.45
californianus,-110.94,31.67
californianus,-110.29,31.98
californianus,-116.3,32.95
californianus,-111.67,32.58
californianus,-96.5,33.24
californianus,-95.49,32.94
californianus,-117.27,33.24
californianus,-97.7,26.66
californianus,-114.87,33.59
californianus,-111.43,31.66
californianus,-109.77,33.17
californianus,-98.1,28.86
californianus,-107.28,33.09
californianus,-111.09,32.35
californianus,-99.1,29.02
californianus,-98.56,26.65
californianus,-110.77,32.14
californianus,-95.82,31.79
californianus,-96.38,33.14
