assigned,longitude,latitude
velox,-99.07,19.58
velox,-103.57,20.58
velox,-97.45,18.84
velox,-103.61,22.66
velox,-88.77,14.77
velox,-97.29,17.45
velox,-101.41,20.7
velox,-102.14,21.6
velox,-100.25,19.34
velox,-100.4,19.08
velox,-97.51,18.33
velox,-103.92,20.63
velox,-102.72,21.74
velox,-89.12,21.33
velox,-88.78,14.87
velox,-89.61,21.25
velox,-97.37,18.71
velox,-98.8,19.48
velox,-89.77,19.41
velox,-86.87,13.96
velox,-89.6,21.15
velox,-90.42,14.66
velox,-99.51,18.95
velox,-100.5,19.48
velox,-92.54,16.56
velox,-100.14,19.12
velox,-96.54,17.26
velox,-103.69,19.48
velox,-97.37,19.61
velox,-89.64,14.97
velox,-96.63,17.13
velox,-100.78,19.95
velox,-101.76,21.29
velox,-99.19,19.28
velox,-100.18,19.22
velox,-99.18,19.89
velox,-104.99,20.31
velox,-103.47,20.69
velox,-87.51,14.32
velox,-102.63,21.12
velox,-99.99,19.21
velox,-97.61,18.47
velox,-88.13,13.96
velox,-102.75,21.06
velox,-90.12,20.22
velox,-100.64,20.25
velox,-87.15,14.24
velox,-103.45,19.79
velox,-103.76,20.01
velox,-99.65,20.37
velox,-99.26,18.61
velox,-99.41,17.8
velox,-103.68,22.34
velox,-101.99,21.23
velox,-93.73,16.69
velox,-86.84,15.42
velox,-101.22,19.43
velox,-99.3,19.73
velox,-100.69,20.17
velox,-102.86,20.95
velox,-89.41,20.81
velox,-99.23,19.17
velox,-102.63,20.56
velox,-96.63,16.8
velox,-103.6,22.17
velox,-104.34,21.67
velox,-97.42,17.55
velox,-88.16,21.6
velox,-103.58,21.77
velox,-96.56,17
velox,-98.52,20.28
velox,-101.13,20.18
velox,-102.99,18.66
velox,-98.82,19.75
velox,-102.6,21.48
velox,-98.5,19.4
velox,-99.13,20.02
velox,-96.95,17.8
velox,-99.08,19.08
velox,-101.84,20.47
velox,-99.38,17.56
velox,-89.32,21.13
velox,-95.17,16.83
velox,-101.84,21.76
velox,-97.68,18.02
velox,-99.2,19.41
velox,-103.08,19.71
velox,-103.02,19.99
velox,-101.27,21.04
velox,-97.37,17.96
velox,-101.73,19.65
velox,-103.6,20.01
velox,-104.07,20.26
velox,-87.08,14.04
velox,-98.91,18
velox,-97.92,19.24
velox,-102.9,21.18
velox,-88.46,20.59
velox,-96.22,16.02
velox,-103.31,20.33
velox,-87.38,14.11
velox,-95.31,16.77
velox,-101.36,19.48
velox,-99.46,18.83
velox,-97.69,19.39
velox,-104.99,21.52
velox,-100.91,19.42
velox,-96.83,19.21
velox,-99.23,19.03
velox,-90.8,14.99
velox,-88.87,14.8
velox,-101.62,21.37
velox,-101.79,19.81
velox,-101.42,19.56
velox,-95.51,16.32
velox,-97.42,17.8
velox,-88.57,21.47
velox,-91.12,14.93
velox,-97.54,17.66
velox,-88.07,13.32
velox,-89.02,20.93
velox,-92.25,15.36
velox,-99.07,18.87
velox,-93.32,16.88
velox,-101.6,19.63
velox,-102.03,19.42
velox,-99.27,18.73
velox,-88.27,13.43
velox,-88.25,13.25
velox,-92.47,15.59
velox,-93.21,16.78
velox,-92,15.95
velox,-100.52,19.8
velox,-94.62,16.57
velox,-103.31,20.67
velox,-104.33,19.67
velox,-86.4,15.57
velox,-96.78,17.08
velox,-103.43,20.29
velox,-94.72,16.59
velox,-93.16,17.14
velox,-88.68,21.34
velox,-86.93,15.26
velox,-91.92,15.38
velox,-90.74,14.49
velox,-96.63,19.26
velox,-88.77,14.67
velox,-96.74,16.6
velox,-89.79,14.86
velox,-91.4,15.34
velox,-104.49,21.11
velox,-99.6,18.52
velox,-103.68,20.4
velox,-92.58,16.73
velox,-102.38,19.86
velox,-87.5,20.82
velox,-96.25,17.24
velox,-91.2,15.76
velox,-91.13,15.38
velox,-98.94,18.54
velox,-96.63,19.78
velox,-99.31,18.94
velox,-96.71,19.62
velox,-99.3,18.82
velox,-91.39,15.93
velox,-91.31,15.83
velox,-89.57,14.77
velox,-86.86,15.07
velox,-89.57,20.8
velox,-87.66,14.05
velox,-94.94,16.45
velox,-96.67,17.04
velox,-95.87,16.67
velox,-93.32,16.4
velox,-101.63,18.88
velox,-104.33,19.83
velox,-96.68,16.95
velox,-94.1,16.84
velox,-93.94,16.75
velox,-90.52,14.3
velox,-86.89,14.32
velox,-92.19,16.33
velox,-93.19,15.91
velox,-88,14.49
velox,-88.54,14.42
velox,-90.62,14.5
velox,-95.32,16.38
velox,-98.15,17.63
velox,-89.58,14.45
velox,-94.62,16.46
velox,-103.03,20.34
velox,-90.21,15.18
velox,-103.82,19.4
velox,-87.5,15.23
velox,-93.77,16.43
velox,-87.6,14.37
velox,-97.92,18.78
velox,-88.3,14.2
velox,-90.53,14.65
velox,-95.3,16.29
velox,-103.83,20.7
velox,-88.57,14.59
velox,-106.29,23.17
velox,-89.54,15
velox,-86.73,15.07
velox,-87.14,13.91
velox,-91.58,16.03
velox,-89.33,20.54
velox,-95.42,16.74
velox,-89.95,21.07
velox,-92.19,16.19
velox,-88.04,14.1
velox,-91.74,15.3
velox,-98.39,18.69
velox,-88.83,20.51
velox,-91.14,14.52
velox,-101.45,19.81
velox,-90.66,14.87
velox,-89.72,20.96
velox,-89.63,19.72
velox,-94.85,16.76
velox,-90.32,14.87
velox,-88.52,14.51
velox,-91.48,14.89
velox,-104.73,21.21
velox,-104.15,19.83
velox,-100.21,17.42
velox,-88.85,14.05
velox,-91.68,16.11
velox,-87.99,14.29
velox,-87.73,20.49
velox,-87.91,21.17
velox,-92.86,16.58
velox,-104.78,20.73
velox,-91.87,15.74
velox,-88.64,14.88
velox,-95.02,16.33
velox,-91.7,16.02
velox,-90.39,20.18
velox,-99.57,18.68
velox,-90.19,20.83
velox,-91.33,15.27
velox,-98.85,19
velox,-91.12,15.27
velox,-95.83,16.98
velox,-91.48,15.4
velox,-87.37,14.91
velox,-90.59,15.37
velox,-104.43,21.49
velox,-90.3,14.75
velox,-89.49,15.14
velox,-96.76,19.52
velox,-96.36,16.57
velox,-100.33,18.69
velox,-101.79,18.94
velox,-98.74,18.72
velox,-88.1,21.37
velox,-95.31,16.13
velox,-89.94,15.04
velox,-89.69,14.89
velox,-99.05,17.06
velox,-101.71,18.79
velox,-94.55,16.32
velox,-90.25,15.32
velox,-104.68,21.31
velox,-86.43,13.66
velox,-89.93,14.73
velox,-96.15,16.68
velox,-88.3,20.64
velox,-90.22,20.65
velox,-86.78,15.3
velox,-90.61,14.34
velox,-93.45,16.08
velox,-87.83,14.12
velox,-89.47,21.23
velox,-87.55,14.45
velox,-89.35,21.33
velox,-90.07,20.32
velox,-90.14,20.39
velox,-90.43,14.53
velox,-87.92,14.89
velox,-88.93,21.05
velox,-96.5,17.09
velox,-103.54,19.69
velox,-104.14,21.39
velox,-92.2,15.21
velox,-90.89,15.24
velox,-85.94,15.77
velox,-88.14,21.26
velox,-96.36,16.79
velox,-99.02,18.44
velox,-99.51,17.71
velox,-96.18,16.83
velox,-88.25,21.51
velox,-104.25,20.07
velox,-93.14,16.46
velox,-92.96,15.86
velox,-99.16,17.63
velox,-89.73,15.02
velox,-99.56,18.43
velox,-104.78,20.48
velox,-90.38,19.93
velox,-99.15,18.63
velox,-92.09,16.13
velox,-99.35,18.57
velox,-97.81,17.67
velox,-90.64,14.64
velox,-97.36,18.41
velox,-87.71,21.48
velox,-104.04,20.65
velox,-87.49,14.57
velox,-86.26,13.97
velox,-87.81,14.57
velox,-87.9,14.49
velox,-103.21,20.68
velox,-88.23,20.74
velox,-87.87,21.4
velox,-102.53,20.43
velox,-103.42,20.95
velox,-90.69,14.41
velox,-103.58,20.68
velox,-88.87,14.65
velox,-90.24,14.35
velox,-92.41,16.36
velox,-89.46,14.33
velox,-92.42,16.46
velox,-88.41,14.73
velox,-89.27,14.45
velox,-105.08,20.82
velox,-89.93,20.56
velox,-103.86,18.99
velox,-91.31,15.59
velox,-103.85,20.88
velox,-88.92,21.39
velox,-87.01,13.98
velox,-88.07,21.56
velox,-88,13.88
velox,-92.99,16.82
velox,-96.8,19.43
velox,-90.38,14.17
velox,-94.23,16.68
velox,-89.27,13.49
velox,-88.11,14.96
velox,-91.29,14.63
velox,-104.94,20.8
velox,-87.73,14.7
velox,-86.61,15.07
velox,-95.4,16.44
velox,-88.97,14.48
velox,-88.28,15.12
velox,-93.68,16.35
velox,-87.31,13.94
velox,-102.99,20.79
velox,-89.72,20
velox,-87.86,14.03
velox,-104.44,19.83
velox,-103.27,19.96
velox,-103.59,19.23
velox,-87.87,14.31
velox,-87.76,14.32
velox,-87.05,14.24
velox,-91.14,14.63
velox,-92.61,15.91
velox,-87.14,21.01
velox,-103.49,19.59
velox,-102.82,18.57
velox,-97.73,16.93
velox,-104.35,21.07
velox,-98.38,16.85
velox,-88.71,14.46
velox,-87.8,15.02
velox,-88.02,14.19
velox,-88.89,14.43
velox,-103.74,19.1
velox,-98.89,19.33
velox,-86.17,14.72
velox,-90.8,14.58
velox,-88.54,14.2
velox,-89.02,21.24
velox,-90.44,15.29
velox,-94.72,16.45
velox,-89.46,20.92
velox,-89.94,15.23
velox,-104.75,20.58
velox,-104.93,20.55
velox,-89.23,21.31
velox,-89.83,14.74
velox,-92.68,16.77
velox,-99.67,18.85
velox,-91.77,15.56
velox,-98.84,17.02
velox,-91.54,14.82
velox,-87.94,14.58
velox,-94.8,16.27
velox,-94.03,16.41
velox,-89.78,19.52
velox,-89.57,13.7
velox,-86.83,14.63
velox,-87.12,14.88
velox,-86.63,14.57
velox,-88.15,21.45
velox,-89.6,15.07
velox,-103.97,20.78
velox,-104.72,21.53
velox,-96.7,16.69
velox,-92.46,16.66
velox,-101.51,19.44
velox,-90.61,19.78
velox,-96.51,17.56
velox,-87.66,13.5
velox,-86.62,15.48
velox,-99.4,18.46
velox,-88.45,15.11
velox,-89.42,14.59
velox,-91.53,15.31
velox,-99.47,18.3
velox,-96.58,16.34
velox,-87.23,14.04
velox,-90.33,14.98
velox,-92.8,15.8
velox,-89.42,13.49
velox,-101.06,19.61
velox,-89.67,20.27
velox,-87.01,20.7
velox,-88.44,14.96
velox,-89.02,14.38
velox,-103.34,19.81
velox,-89.4,14.41
velox,-94.21,16.48
velox,-89.99,15.58
velox,-88.42,14.61
velox,-88.15,20.62
velox,-87.44,20.9
velox,-104.05,20.55
velox,-105.37,20.77
velox,-95.52,16.69
velox,-90.23,20.56
velox,-87.86,13.9
velox,-87.24,13.87
velox,-93.54,16.16
velox,-97.18,19.53
velox,-87.63,14.18
velox,-95.66,16.41
velox,-103.49,20.5
velox,-95.88,16.29
velox,-97.57,17.45
velox,-93.15,16.65
velox,-101.72,19.45
velox,-105.83,22.86
velox,-104.12,19.28
velox,-92.95,15.98
velox,-85.84,15.22
velox,-87.6,15.17
velox,-98.96,18.34
velox,-95.53,16.85
velox,-88.14,20.91
velox,-94.98,16.2
velox,-90.83,14.42
velox,-99.13,18.76
velox,-104.68,21.07
velox,-91.2,15.16
velox,-100.43,19.39
velox,-90.3,15.21
velox,-90.11,15.12
velox,-90.03,20.45
velox,-87.87,14.64
velox,-87.43,14.64
velox,-89.87,21.14
velox,-96.35,15.69
