assigned,longitude,latitude
californianus,-116.55,33.83
californianus,-112.35,33.76
californianus,-119.54,36.87
californianus,-103.14,29.18
californianus,-98.25,28.47
californianus,-102.77,30.18
californianus,-103.51,29.42
californianus,-99.69,24.8
californianus,-117.7,33.92
californianus,-100.51,26.56
californianus,-104.33,19.67
californianus,-110.96,29.08
californianus,-110.4,31.96
californianus,-119.79,34.42
californianus,-102.92,29.2
californianus,-117.86,33.58
californianus,-116.61,31.81
californianus,-110.25,36.72
californianus,-98.38,29.58
californianus,-102.19,21.97
californianus,-101.4,26.94
californianus,-94.8,16.55
californianus,-97.45,18.84
californianus,-98.84,29.54
californianus,-116.27,35.98
californianus,-95.73,32.4
californianus,-106.04,24.94
californianus,-112.05,33.06
californianus,-94.77,32.29
californianus,-110.18,31.99
californianus,-117.84,33.67
californianus,-116.85,32.68
californianus,-101.56,26.65
californianus,-97.67,30.77
californianus,-114.09,34.65
californianus,-99.81,32.44
californianus,-101.62,33.49
californianus,-119.17,34.92
californianus,-103.61,22.66
californianus,-95,16.61
californianus,-100.55,26.21
californianus,-100.1,25.79
californianus,-97.67,28.64
californianus,-103.47,20.6
californianus,-117.31,33.44
californianus,-96.58,32.79
californianus,-114.26,35.58
californianus,-88.77,14.77
californianus,-114.64,32.73
californianus,-106.32,34.53
californianus,-111.09,24.45
californianus,-97.77,32.4
californianus,-104.03,30.68
californianus,-101.91,33.64
californianus,-114.63,35.13
californianus,-95.57,30.62
californianus,-95.24,32.19
californianus,-99.7,35.9
californianus,-103.77,29.27
californianus,-96.27,33.85
californianus,-103.08,25.54
californianus,-89.76,14.88
californianus,-99.75,34.12
californianus,-98.75,28.49
californianus,-101.41,20.7
californianus,-118.59,35.41
californianus,-97.4,27.8
californianus,-98.5,31.07
californianus,-97.27,33.08
californianus,-98.53,30.56
californianus,-116.93,32.86
californianus,-108.82,35.51
californianus,-107.23,33.22
californianus,-98.36,32.89
californianus,-85.96,12.72
californianus,-102.63,21.12
californianus,-103.31,29.33
californianus,-100.25,19.34
californianus,-98.25,29.41
californianus,-97.23,30.55
californianus,-100.34,29.86
californianus,-109.2,28.97
californianus,-99.99,19.21
californianus,-107.98,30.25
californianus,-115.62,34.81
californianus,-111.78,33.23
californianus,-96.37,31.46
californianus,-106.73,34.6
californianus,-106.11,35.57
californianus,-100.39,25.56
californianus,-100.4,19.08
californianus,-95.09,35.64
californianus,-98.54,30.09
californianus,-116.96,32.59
californianus,-103.47,20.69
californianus,-98.94,31.4
californianus,-86.37,13.24
californianus,-104.15,30.87
californianus,-102.64,28.68
californianus,-99.81,28.69
californianus,-100.5,31.47
californianus,-100.42,25.23
californianus,-99.61,32.21
californianus,-97.75,27.22
californianus,-95.26,31.93
californianus,-94.98,16.4
californianus,-100.5,25.62
californianus,-104.52,29.99
californianus,-110.91,31.67
californianus,-98.95,23.41
californianus,-114.66,30.46
californianus,-119.36,35.1
californianus,-103.92,20.63
californianus,-103.51,29.12
californianus,-103.12,33.71
californianus,-111.27,32.49
californianus,-97.92,27.84
californianus,-110.3,31.84
californianus,-105.2,35.52
californianus,-110.59,28.17
californianus,-96.64,30.54
californianus,-100.07,29.65
californianus,-97.7,31.89
californianus,-96.52,17.03
californianus,-97.43,32.65
californianus,-110.64,32.6
californianus,-104.68,29.99
californianus,-100.62,34.83
californianus,-95.24,30.36
californianus,-98.27,29.19
californianus,-111.81,34.51
californianus,-117.91,35.71
californianus,-116.35,34.29
californianus,-119.05,35.38
californianus,-87.19,13.96
californianus,-98.21,28.71
californianus,-98.42,27.86
californianus,-96.66,33.72
californianus,-111.96,33.57
californianus,-98.56,29.77
californianus,-97.17,30.09
californianus,-98.58,29.26
californianus,-120.93,36.26
californianus,-109.09,31.79
californianus,-111.66,33.25
californianus,-93.13,16.71
californianus,-111.82,33.47
californianus,-100.78,31.32
californianus,-89.12,21.33
californianus,-114.58,36.66
californianus,-121.2,37.49
californianus,-109.72,31.56
californianus,-116.85,33.13
californianus,-103.43,20.29
californianus,-108.89,31.69
californianus,-107.32,32.83
californianus,-117.04,33.64
californianus,-110.19,31.47
californianus,-97.43,36.02
californianus,-117.46,33.82
californianus,-98.84,29.74
californianus,-120.85,36.76
californianus,-97.43,25.85
californianus,-93.36,35.41
californianus,-119.11,36.59
californianus,-95.54,35.2
californianus,-109.73,31.88
californianus,-103.69,35.16
californianus,-112.29,33.52
californianus,-104.74,31.95
californianus,-114.22,34.18
californianus,-100.33,25.8
californianus,-118.36,35.05
californianus,-104.84,33.34
californianus,-100.54,31.38
californianus,-99.89,30.38
californianus,-104.2,34.42
californianus,-109.83,32.92
californianus,-108.95,32.16
californianus,-114.02,37.14
californianus,-88.78,14.87
californianus,-119.89,35.29
californianus,-107.61,32.78
californianus,-111.46,36.91
californianus,-121.05,36.45
californianus,-101.08,33.05
californianus,-109.44,23.45
californianus,-98.18,30.02
californianus,-97.23,35.22
californianus,-111.48,32.45
californianus,-100.74,24.35
californianus,-112.69,33.36
californianus,-101.09,33.47
californianus,-88.57,14.71
californianus,-106.08,34.89
californianus,-106.66,32.09
californianus,-113.81,35.18
californianus,-112.76,32.2
californianus,-112.38,32.86
californianus,-120.51,35.14
californianus,-112.61,33.86
californianus,-101.27,30.64
californianus,-110.96,31.39
californianus,-103.22,29.38
californianus,-115.47,32.99
californianus,-111.51,31.59
californianus,-97.22,35.38
californianus,-91.19,14.67
