"name"	"longitude"	"latitude"	"subspecies"	"atlantica"	"beata"	"kenaiensis"	"rivularis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-74.01	40.73	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-70.67	41.97	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.39	40.66	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.4	40.67	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.56	39.78	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.54	40.88	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74	40.65	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.23	39.29	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.79	40.48	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.04	40.3	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.46	39.26	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.44	39.29	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.74	40.31	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.97	40.65	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.99	41.45	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.07	40.33	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.01	40.89	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.44	41.42	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.97	40.67	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.93	40.21	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.1	41.39	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.25	41.7	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-70.9	41.62	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.39	41.79	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.47	39.27	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.03	40.12	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.26	39.89	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.97	40.66	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.56	39.77	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.02	40.65	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.18	40.31	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.45	41.87	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.16	39.79	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.53	40.56	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.64	40.34	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.92	40.8	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.91	40.79	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.93	40.79	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.64	40.35	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.55	39.78	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.3	41.62	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.33	41.72	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.36	41.78	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.89	41.18	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.45	39.47	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.73	40.19	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.9	40.6	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.28	41.63	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.65	41.81	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.18	41.76	"unknown"	1	0	0	0	1	"atlantica"
