"name"	"longitude"	"latitude"	"subspecies"	"beata"	"juddi"	"merrilli"	"pectoralis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-94.18	38.47	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-94.31	38.93	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-96.52	39.23	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-94.25	38.92	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-95.14	37.51	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-95.25	40.09	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-94.91	38.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-94.41	38.56	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-94.34	39.02	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-94.58	39.09	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-94.58	39.08	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-95.25	40.11	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-94.95	38.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-94	38.71	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-95.23	38.92	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.29	38.72	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.26	38.95	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.27	38.95	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.16	38.8	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.24	39	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-99.93	37.74	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-100.02	37.75	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.73	39.94	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.33	38.9	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.33	38.94	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.7	39.05	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.83	38.9	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.3	39	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.85	39.04	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.51	38.92	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-94.98	39.19	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.26	38.91	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.28	38.9	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.18	38.89	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.26	38.98	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.29	38.93	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.22	38.92	"juddi"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi Bishop, 1896"	-95.16	38.97	"juddi"	0	1	0	0	1	"juddi"
