"name"	"longitude"	"latitude"	"subspecies"	"adusta"	"kenaiensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-122.48	37.51	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.11	37.45	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-123.1	38.43	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.06	36.97	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.29	38.85	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.99	36.97	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.11	37.46	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.3	37.55	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.31	37.89	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.31	37.87	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.45	37.8	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.07	37.44	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.21	37.42	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.58	38.23	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.68	38	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.34	37.91	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-120.62	37.17	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-120.63	37.17	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.51	37.53	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.08	37.56	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.21	37.74	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.47	37.77	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.88	37.24	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.1	37.46	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.51	38.03	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.32	37.82	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.22	37.5	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.5	37.77	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.06	36.96	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.78	36.92	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.26	37.87	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.52	38.21	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.72	37.13	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.96	37.41	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.1	37.44	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.61	38.23	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.3	37.86	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.49	37.5	"unknown"	0	1	1	"kenaiensis"
