"name"	"longitude"	"latitude"	"subspecies"	"adusta"	"maxillaris"	"numSubsppGroups"	"assigned"
"Melospiza melodia"	-166.52	53.91	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia"	-176.64	51.89	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia"	-168.48	53.22	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia"	-166.54	53.87	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.57	53.86	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.52	53.93	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.95	53.58	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-167.85	53.38	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-173.7	52.42	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.53	53.9	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.54	53.87	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.24	53.93	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.3	53.83	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-165.53	52.04	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-179.05	51.58	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-176.6	51.85	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia"	-176.6	51.85	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-168.04	53.93	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-173.66	52.1	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-176.6	51.85	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-177.54	51.97	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-168.03	53.93	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia"	-177.54	51.97	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-174.28	52.22	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-178.95	51.35	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-176.57	51.93	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-176.55	51.9	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-176.75	51.87	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.93	53.54	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia"	-168.16	53.37	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia"	-168.49	53.2	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-172.91	52.9	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.52	53.96	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia maxima"	-179.01	51.59	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.37	53.8	"unknown"	0	1	1	"maxillaris"
"Melospiza melodia sanaka"	-166.53	53.91	"unknown"	0	1	1	"maxillaris"
