assigned,longitude,latitude
atlantica,-74.22,39.76
atlantica,-74.72,41.08
atlantica,-75.06,39.58
atlantica,-74.59,40.42
atlantica,-74.59,40.55
atlantica,-74.22,39.89
atlantica,-74.57,39.94
atlantica,-74.5,40.7
atlantica,-74.3,40.19
atlantica,-75.03,40.41
atlantica,-73.55,40.59
atlantica,-73.31,40.64
atlantica,-76.61,39.29
atlantica,-75.1,38.77
atlantica,-75.4,39.1
atlantica,-75.06,38.55
atlantica,-75.07,38.65
atlantica,-74.18,39.65
atlantica,-74.91,39.22
atlantica,-73.99,40.45
atlantica,-75.38,38.7
atlantica,-74.02,40.93
atlantica,-75.69,37.41
atlantica,-74.05,40.04
atlantica,-72.88,40.78
atlantica,-76,36.85
atlantica,-74.08,39.85
atlantica,-74.66,39.19
atlantica,-75.87,37.14
atlantica,-74.46,39.46
atlantica,-75.34,38.05
atlantica,-76.08,38.56
atlantica,-74.1,39.76
atlantica,-75.36,37.94
atlantica,-77.2,38.83
atlantica,-76.53,38.55
atlantica,-72.71,40.82
atlantica,-76.26,36.9
atlantica,-72.33,40.9
atlantica,-72.38,41.08
atlantica,-75.07,38.37
atlantica,-73.88,40.86
atlantica,-76.46,37.06
atlantica,-73.8,40.53
atlantica,-75.23,38.6
atlantica,-75.63,39.95
atlantica,-75.75,37.33
atlantica,-74.32,39.52
atlantica,-84.36,34.02
atlantica,-71.98,41.27
atlantica,-75.62,37.58
