assigned,longitude,latitude
caurina,-124.87,49.69
caurina,-145.74,60.55
caurina,-145.42,60.35
caurina,-131.7,55.35
caurina,-142.42,60.07
caurina,-134.65,58.38
caurina,-146.33,59.43
caurina,-145.28,60.43
caurina,-139.73,59.55
caurina,-146.25,60.45
caurina,-127.43,50.7
caurina,-134.44,58.3
caurina,-124.13,41.16
caurina,-131.83,55.86
caurina,-130.43,54.55
caurina,-130.68,54.55
caurina,-122.18,48.05
caurina,-123.31,49.34
caurina,-123.93,45.43
caurina,-131.41,55.67
caurina,-126.92,50.58
caurina,-135.32,59.47
caurina,-132.38,56.47
caurina,-122.33,47.6
caurina,-133.15,55.48
caurina,-122.2,47.48
caurina,-132.91,55.63
caurina,-130.6,54.02
caurina,-132.43,56.59
caurina,-135.5,57.5
caurina,-132.41,55.42
caurina,-132.5,53.5
caurina,-132.8,54.87
caurina,-124.15,40.6
caurina,-166.53,53.88
caurina,-135.46,57.02
caurina,-135.67,57.17
caurina,-134.02,57.48
caurina,-134.04,57.29
caurina,-133.63,56.33
caurina,-136.35,58.76
caurina,-135.27,57.53
caurina,-132.86,57.03
caurina,-131.96,55.62
caurina,-122.42,45.34
caurina,-124.05,44.64
caurina,-133.83,56.59
caurina,-133.52,56.2
caurina,-134.28,57.87
caurina,-146.17,61.08
caurina,-149.05,60.83
