assigned,longitude,latitude
cleonensis,-124.43,43.11
cleonensis,-124.11,41.84
cleonensis,-122.04,40.86
cleonensis,-123.62,39.64
cleonensis,-124.27,40.68
cleonensis,-123.63,40.94
cleonensis,-124.02,41.36
cleonensis,-123.78,39.48
cleonensis,-124.13,41.16
cleonensis,-123.17,42.44
cleonensis,-124.14,41.06
cleonensis,-122.58,42.67
cleonensis,-124.16,40.6
cleonensis,-124.28,42.05
cleonensis,-124.38,42.56
cleonensis,-123.58,38.87
cleonensis,-123.93,40.39
cleonensis,-124.42,42.41
cleonensis,-124.43,42.32
cleonensis,-123.5,39.67
cleonensis,-124.07,42
cleonensis,-124.16,40.79
cleonensis,-123.5,42.19
cleonensis,-124.13,40.96
cleonensis,-124.05,41.55
cleonensis,-124.2,41.75
cleonensis,-119.75,37.25
cleonensis,-124.06,40.84
cleonensis,-122.13,41.25
cleonensis,-124.07,40.53
cleonensis,-123.97,41.83
cleonensis,-123.49,38.74
cleonensis,-123.36,39.41
cleonensis,-123.8,39.31
cleonensis,-124,40.76
cleonensis,-124.37,40.47
cleonensis,-122.79,38.04
cleonensis,-123.78,39.64
cleonensis,-123.84,39.86
