assigned,longitude,latitude
cooperi,-118.4,34.08
cooperi,-115.22,29.97
cooperi,-120.46,34.64
cooperi,-118.36,34.28
cooperi,-118.14,34.7
cooperi,-118.5,34.17
cooperi,-115.27,32.55
cooperi,-118.82,34.01
cooperi,-111.13,32.37
cooperi,-109.74,29.97
cooperi,-119.08,34.12
cooperi,-119.52,34.4
cooperi,-117.25,32.43
cooperi,-116.4,31.54
cooperi,-116.4,33.36
cooperi,-120.84,35.36
cooperi,-120.88,35.27
cooperi,-117.96,33.96
cooperi,-122.01,37.06
cooperi,-115.37,30.05
cooperi,-117.32,33.23
cooperi,-120.63,35.13
cooperi,-117.22,33.29
cooperi,-115.49,30.04
cooperi,-116.02,30.87
cooperi,-121.93,36.63
cooperi,-116.5,31.62
cooperi,-119.6,36.67
cooperi,-118.3,33.81
cooperi,-115.97,31.98
cooperi,-109.71,23.06
cooperi,-117.42,34.37
cooperi,-116.47,32.62
cooperi,-119.3,34.28
cooperi,-119.37,34.42
cooperi,-118.15,34.98
cooperi,-117.08,33.12
cooperi,-117.67,34.23
cooperi,-117.83,34.02
cooperi,-118.13,33.97
cooperi,-118.25,34.3
cooperi,-117.93,33.83
cooperi,-116.92,32.87
cooperi,-117.97,33.63
cooperi,-118.55,34.38
cooperi,-118.3,34.03
cooperi,-119.08,34.33
cooperi,-117.48,34.02
cooperi,-119.7,34.42
cooperi,-118.07,33.72
cooperi,-117.57,33.88
cooperi,-118.18,33.78
cooperi,-118.23,33.92
cooperi,-119.05,34.58
cooperi,-118.32,34.18
cooperi,-116.33,30.98
cooperi,-120.41,35.35
cooperi,-117.98,34.05
cooperi,-117.14,32.78
cooperi,-121.7,36.18
cooperi,-120.52,34.91
cooperi,-120.66,35.28
cooperi,-117.06,32.34
cooperi,-120.47,34.45
cooperi,-121.71,36.47
cooperi,-118.59,34.23
cooperi,-118.2,34.22
cooperi,-118.73,34.08
cooperi,-119.75,37.25
cooperi,-118.07,33.88
cooperi,-119.76,34.53
cooperi,-117.65,34.05
cooperi,-116.96,33.79
cooperi,-117.34,34.22
cooperi,-117.4,33.95
cooperi,-116.79,33.5
cooperi,-117.28,34.14
cooperi,-120.69,35.64
cooperi,-118.13,34.15
cooperi,-122.01,36.97
cooperi,-121.07,36.21
cooperi,-122.23,37.07
cooperi,-117,34.13
cooperi,-117.33,34.6
cooperi,-121.48,36.05
cooperi,-121.58,36.09
cooperi,-119.88,34.41
cooperi,-117.21,33.14
cooperi,-116.68,33.79
cooperi,-120.61,35.39
cooperi,-117.13,32.56
cooperi,-116.89,34.86
cooperi,-121.32,35.76
cooperi,-121.32,36.41
cooperi,-121.09,35.56
cooperi,-116.52,33.79
cooperi,-117.52,33.68
cooperi,-117.68,33.87
cooperi,-121.93,36.54
cooperi,-116.97,34.22
cooperi,-117.08,32.64
cooperi,-116.6,33.07
cooperi,-116.6,32.95
cooperi,-115.46,30.88
cooperi,-116.02,30.72
cooperi,-116.1,30.97
cooperi,-115.77,30.87
cooperi,-116.74,32.39
cooperi,-121.79,36.8
cooperi,-117.07,32.99
cooperi,-116.59,34.95
cooperi,-121.83,36.91
cooperi,-119.26,34.44
cooperi,-117.18,33.98
cooperi,-117.09,34.06
cooperi,-118.46,33.94
cooperi,-117.87,33.75
cooperi,-116.36,32.97
cooperi,-121.59,36.77
cooperi,-121.91,36.42
cooperi,-120.9,36.02
cooperi,-120.8,35.77
cooperi,-116.84,33.02
cooperi,-118.94,34.4
cooperi,-116.95,33.09
cooperi,-117.33,34.06
cooperi,-119.2,34.15
cooperi,-117,32.79
cooperi,-120.65,34.96
cooperi,-117.78,33.54
cooperi,-116.51,34.07
cooperi,-120.1,35.11
cooperi,-121.17,35.97
cooperi,-121.02,36.12
cooperi,-121.89,36.33
cooperi,-118.29,33.7
cooperi,-116.81,34.2
cooperi,-115.67,31.12
cooperi,-116.35,32.6
cooperi,-121.7,36.74
cooperi,-111.28,26.11
cooperi,-115.68,30.98
cooperi,-115.72,31.4
cooperi,-116.58,32.57
cooperi,-115.71,30.06
cooperi,-115.44,31.05
cooperi,-116.6,33.21
cooperi,-69.23,43.82
cooperi,-69.45,44.02
