assigned,longitude,latitude
euphonia,-83.32,42.11
euphonia,-83.55,41.93
euphonia,-82.54,40.78
euphonia,-100.09,31.52
euphonia,-84.28,40.65
euphonia,-83,39.96
euphonia,-83.78,39.92
euphonia,-84.62,40.13
euphonia,-84.65,39.74
euphonia,-81.45,39.77
euphonia,-82.48,40.09
euphonia,-83.01,40.28
euphonia,-82.63,39.75
euphonia,-87.86,44.89
euphonia,-83.66,41.57
euphonia,-82.99,41.46
euphonia,-92.08,46.71
euphonia,-93.99,45.54
euphonia,-83.06,41.59
euphonia,-85.46,38.71
euphonia,-83.5,41.68
euphonia,-95.22,38.88
euphonia,-81.09,40.58
euphonia,-89.08,30.37
euphonia,-82.48,39.93
euphonia,-83.75,42.28
euphonia,-82.61,41.51
euphonia,-81.24,41.82
euphonia,-84.88,38.2
euphonia,-82.8,40.53
euphonia,-82.28,40.23
euphonia,-83.43,38.19
euphonia,-83.77,40.39
euphonia,-81.92,40.3
euphonia,-84.63,40.54
euphonia,-83.74,41.49
euphonia,-82.48,39.5
euphonia,-84.82,42.15
euphonia,-81.53,41.13
euphonia,-81.9,41.12
euphonia,-83.87,38.93
euphonia,-84.58,41.56
euphonia,-84.59,40.86
euphonia,-84.12,41.6
euphonia,-80.76,41.89
euphonia,-76.44,42.45
euphonia,-85.58,47.2
euphonia,-81.08,39.73
euphonia,-83.3,41.66
euphonia,-84,42.47
euphonia,-83.4,41.75
euphonia,-83.38,35.71
euphonia,-83.86,35.6
euphonia,-81.4,41.52
euphonia,-83.48,42.43
euphonia,-82.24,39.74
euphonia,-84.2,40.33
euphonia,-87.82,42.42
euphonia,-73.97,40.25
euphonia,-88.15,42.37
euphonia,-87.8,41.69
euphonia,-87.85,42.17
euphonia,-87.65,41.85
euphonia,-87.81,41.9
euphonia,-88.84,43.46
euphonia,-87.89,41.81
euphonia,-87.59,41.77
euphonia,-89.4,39.74
euphonia,-81.27,43.04
euphonia,-82.15,41.47
euphonia,-82.98,39.13
euphonia,-88.94,42.78
euphonia,-88.64,42.63
euphonia,-84.18,42.16
euphonia,-91.12,44.68
euphonia,-89.38,42.93
euphonia,-82.22,41.29
euphonia,-88.97,42.9
euphonia,-77.06,38.9
euphonia,-85.13,40.19
euphonia,-89.03,38.33
euphonia,-86.67,41.24
euphonia,-85.01,39.42
euphonia,-88.78,43.02
euphonia,-83.13,41.13
euphonia,-84.32,33.75
euphonia,-77.69,43.29
euphonia,-87.25,39.85
euphonia,-87.68,41.66
euphonia,-78.8,44.66
euphonia,-80.74,43.98
euphonia,-82.16,38.62
euphonia,-81.62,42.96
euphonia,-81.85,43.16
euphonia,-81.5,43.02
euphonia,-81.98,42.56
euphonia,-86.43,37.24
euphonia,-95.24,38.98
euphonia,-77.05,42.96
euphonia,-79.88,43.52
euphonia,-97.15,49.88
euphonia,-83.57,31.5
euphonia,-84.84,39.03
euphonia,-87.96,36.78
euphonia,-90.64,38.56
euphonia,-93.25,45
euphonia,-71.08,42.27
euphonia,-71.57,42.4
euphonia,-91.53,41.66
euphonia,-83.3,40.84
euphonia,-82.18,42.4
euphonia,-82.43,42.33
euphonia,-86.25,45.96
