assigned,longitude,latitude
fallax,-111.74,33.36
fallax,-110.74,32.24
fallax,-111.16,33.28
fallax,-112.7,33.93
fallax,-111.89,34.83
fallax,-115,36.08
fallax,-110.28,31.55
fallax,-110.81,32.31
fallax,-111.02,32.28
fallax,-109.27,31.34
fallax,-111.23,32.57
fallax,-115.95,33.52
fallax,-114.37,34.51
fallax,-115.31,32.27
fallax,-110.14,31.55
fallax,-115.11,32.2
fallax,-114.53,33.69
fallax,-109.1,32.72
fallax,-110.59,31.82
fallax,-109.9,27.71
fallax,-116.07,33.54
fallax,-111.13,32.39
fallax,-110.58,27.88
fallax,-110.11,31.44
fallax,-115.71,33.08
fallax,-115.53,35.3
fallax,-111.64,33.55
fallax,-110.98,27.96
fallax,-114.07,34.28
fallax,-113.6,37.08
fallax,-111.49,31.59
fallax,-109.72,31.57
fallax,-117.29,33.09
fallax,-109.04,32.05
fallax,-115.72,33.22
fallax,-115.51,32.89
fallax,-115.62,33.17
fallax,-115.68,32.76
fallax,-112.22,33.36
fallax,-114.73,33.43
fallax,-110.9,30.95
fallax,-111.49,32.85
fallax,-108.99,30.12
fallax,-109.33,29.83
fallax,-109.29,29.92
fallax,-109.85,27.59
fallax,-110.17,30.33
fallax,-109.7,29.93
fallax,-114.25,44.31
fallax,-116.09,42.99
fallax,-105.26,40.17
fallax,-106.32,36.21
fallax,-113.09,37.19
fallax,-105.25,35.94
fallax,-115.14,36.17
fallax,-105.97,36.15
fallax,-114.45,36.54
fallax,-115.49,33.17
fallax,-114.94,32.71
fallax,-114.62,32.67
fallax,-114.62,32.57
fallax,-103.77,30.73
fallax,-111.2,31.2
fallax,-118.55,42.68
fallax,-109.84,47.02
fallax,-112.64,38.26
fallax,-112.92,38.22
fallax,-109.38,30.44
fallax,-104.11,43.81
fallax,-111.25,42.13
fallax,-103.85,44.48
fallax,-114.67,35.47
fallax,-116.96,44.03
fallax,-114.11,39.02
fallax,-114.64,34.92
fallax,-110.93,42.46
fallax,-111.2,42.38
fallax,-111.4,42.17
fallax,-110.76,43.48
fallax,-116.47,38.73
fallax,-114.22,38.04
fallax,-115.23,37.53
fallax,-114.63,35.03
fallax,-114.62,32.78
fallax,-112.32,33.24
fallax,-112.42,33.45
fallax,-118.51,34.75
fallax,-116.99,43.88
fallax,-114.48,32.8
fallax,-112.24,34.4
fallax,-115.15,32.63
fallax,-115.27,30.19
fallax,-106.65,35.08
fallax,-111.74,34.93
fallax,-110.79,31.51
fallax,-114.8,32.58
fallax,-112.74,34.94
fallax,-119.9,42.18
fallax,-110.95,30.63
fallax,-114.61,34.82
fallax,-116.88,36.46
fallax,-109.32,31.52
fallax,-110.67,32.5
fallax,-114.66,33.57
fallax,-117.33,34.6
fallax,-110.19,31.72
fallax,-121,37.65
fallax,-109.33,31.98
fallax,-111.13,33.67
fallax,-114.44,34.68
fallax,-115.97,33.69
fallax,-114.7,33.33
fallax,-114.68,33.18
fallax,-114.47,32.89
fallax,-114.75,32.73
fallax,-115.52,35.98
fallax,-115.53,33.05
fallax,-111.74,33.08
fallax,-118.27,34.07
fallax,-110.93,32.38
fallax,-110.45,32.38
fallax,-110.22,31.88
fallax,-112.07,33.45
fallax,-112.08,33.59
fallax,-111.91,33.41
fallax,-106.21,28.69
fallax,-109.72,29.8
fallax,-96.49,28.51
fallax,-97.26,42.62
fallax,-96.71,42.56
fallax,-96.87,42.65
fallax,-98.11,42.51
fallax,-98.65,42.46
fallax,-106.04,39.48
fallax,-108.76,32.8
fallax,-114.54,33.57
fallax,-109.7,32.75
fallax,-111.05,31.56
fallax,-110.85,31.38
fallax,-104.43,39.76
fallax,-103.63,38.01
fallax,-104.47,37.22
fallax,-107,40.57
fallax,-106.83,40.48
fallax,-104.14,40.27
fallax,-106.22,39.2
fallax,-108.8,40.09
fallax,-102.97,37.58
fallax,-105.9,37.26
fallax,-108.92,38.37
fallax,-115.67,32.85
fallax,-104.78,37.62
fallax,-106.82,39.19
fallax,-102.78,38.48
fallax,-102.8,40.86
fallax,-114.5,33.02
fallax,-102.22,40.08
fallax,-104.83,39.73
fallax,-104.98,39.74
fallax,-104.77,39.94
fallax,-104.76,39.52
fallax,-104.99,39.87
fallax,-102.4,37.56
fallax,-102.26,40.99
fallax,-104.07,40.38
fallax,-105.03,39.57
fallax,-105.15,39.8
fallax,-91.53,41.66
fallax,-107.56,33.28
fallax,-105.5,39
fallax,-109.96,33.84
fallax,-114.28,34.17
fallax,-114.6,33.48
fallax,-108.44,40.45
fallax,-104.61,38.25
fallax,-103.22,38.07
fallax,-102.12,38.05
fallax,-105.27,40.02
fallax,-105.94,40.09
fallax,-105.19,39.65
fallax,-103.69,39.26
fallax,-97.7,26.19
fallax,-116.13,33.62
fallax,-111.5,45.92
fallax,-119.75,37.25
