assigned,longitude,latitude
fisherella,-106.68,35.13
fisherella,-108.24,33.22
fisherella,-118.11,37.43
fisherella,-118.4,37.37
fisherella,-117.98,37.37
fisherella,-118.27,37.88
fisherella,-115.83,33.33
fisherella,-122.14,41.21
fisherella,-122.27,41.16
fisherella,-111.13,32.37
fisherella,-118.61,34.41
fisherella,-110.32,29.44
fisherella,-111.29,33.92
fisherella,-119.8,39.52
fisherella,-118.73,39.39
fisherella,-118.85,39.47
fisherella,-118.71,43.01
fisherella,-118.12,37.12
fisherella,-118.1,37.53
fisherella,-120.34,40.27
fisherella,-119.15,38.02
fisherella,-119.97,39.27
fisherella,-120.32,37.29
fisherella,-115.67,36.58
fisherella,-120.5,41.23
fisherella,-120.15,39.2
fisherella,-120.99,39
fisherella,-120.08,41.32
fisherella,-123.38,41.79
fisherella,-120.75,40.57
fisherella,-119.9,42.18
fisherella,-122.14,39.16
fisherella,-121.55,40.92
fisherella,-120.36,41.9
fisherella,-121.67,40.89
fisherella,-120.34,41.23
fisherella,-119.02,38.02
fisherella,-121.09,40.59
fisherella,-121.97,41.64
fisherella,-122.63,41.73
fisherella,-120.95,39.94
fisherella,-120.6,46.6
fisherella,-123.63,39.83
fisherella,-122.38,41.41
fisherella,-119.3,35.2
fisherella,-121.15,41.87
fisherella,-120.7,39.76
fisherella,-118.93,43.17
fisherella,-120.24,39.68
fisherella,-120.37,39.59
fisherella,-119.48,46.27
fisherella,-122.55,39.42
fisherella,-121.83,41.7
fisherella,-122.17,38.2
fisherella,-117.3,34.38
fisherella,-119.48,46.77
fisherella,-120.18,39.03
fisherella,-120.63,39.57
fisherella,-121,37.65
fisherella,-120.18,39.33
fisherella,-122.2,41.97
fisherella,-118.03,34.07
fisherella,-116.83,34.9
fisherella,-122.3,40.77
fisherella,-120.93,37.1
fisherella,-120.66,35.28
fisherella,-121.28,36.73
fisherella,-122.77,38.5
fisherella,-120.78,40.2
fisherella,-122.09,37.63
fisherella,-120.84,38.48
fisherella,-119.76,38.98
fisherella,-122.71,42.19
fisherella,-108.34,36.73
fisherella,-120.64,40.42
fisherella,-120.03,38.93
fisherella,-118.43,41.59
fisherella,-118.59,41.67
fisherella,-120.09,39.42
fisherella,-122.01,39.21
fisherella,-122.19,39.28
fisherella,-120.44,37.52
fisherella,-119.77,39.08
fisherella,-119.78,42.4
fisherella,-120.12,40.27
fisherella,-120.74,41.9
fisherella,-120.11,46.26
fisherella,-122.26,37.87
fisherella,-122.69,39
fisherella,-120.33,41.8
fisherella,-120.34,41.44
fisherella,-120.15,41.46
fisherella,-122.08,42.2
fisherella,-122.04,40.86
fisherella,-117.63,37.76
fisherella,-122.64,40.66
fisherella,-121.6,36.08
fisherella,-120.79,40.66
fisherella,-122.4,41.6
fisherella,-122.83,41.38
fisherella,-122.38,41.23
fisherella,-118.11,36.59
fisherella,-118.21,36.83
fisherella,-121.64,42
fisherella,-119.78,37.67
fisherella,-119.11,37.91
fisherella,-119.88,37.59
fisherella,-119.6,37.75
fisherella,-120.32,37.7
fisherella,-120.47,37.67
fisherella,-118.24,37.41
fisherella,-117.91,35.94
fisherella,-117.29,34.54
fisherella,-116.52,33.79
fisherella,-120.15,43.91
fisherella,-120.11,40.36
fisherella,-121.76,40.31
fisherella,-122.07,40.31
fisherella,-120.61,40.8
fisherella,-121.6,40.35
fisherella,-120.41,41.62
fisherella,-122.64,38.23
fisherella,-122.13,40.17
fisherella,-121.06,39.22
fisherella,-117.53,41.57
fisherella,-122.55,41.89
fisherella,-116.08,40.71
fisherella,-118.28,37.14
fisherella,-115.57,33.17
fisherella,-119.9,42.05
fisherella,-120.43,44.47
fisherella,-118.41,44.25
fisherella,-121.17,39.87
fisherella,-118.62,39.47
fisherella,-122.35,38.21
fisherella,-122.32,41.31
fisherella,-121.88,42.4
fisherella,-121.52,41.1
fisherella,-118.43,37.13
fisherella,-120.39,40.38
fisherella,-123.14,40.55
fisherella,-119.01,41.84
fisherella,-121.47,41.95
fisherella,-123.49,40.62
fisherella,-119.63,39.94
fisherella,-124.05,41.55
fisherella,-120.03,38.81
fisherella,-119.8,39.27
fisherella,-122.08,42.48
fisherella,-122.19,39.41
fisherella,-117.53,45.57
fisherella,-120.04,39.09
fisherella,-120.18,39.8
fisherella,-120.38,39.82
fisherella,-120.48,39.73
fisherella,-118.05,40.53
fisherella,-117.68,39.25
fisherella,-116.28,39.92
fisherella,-120.26,39.4
fisherella,-121.43,40.34
fisherella,-119.16,37.76
fisherella,-120.11,37.75
fisherella,-119.11,36.72
fisherella,-121.03,36.13
fisherella,-123.49,39.69
fisherella,-120.83,44.3
fisherella,-119.8,38.78
fisherella,-120.98,41.88
fisherella,-121.92,39.3
fisherella,-121.97,38.15
fisherella,-121.4,40.44
fisherella,-120.47,40.53
fisherella,-118.08,37.82
fisherella,-117.54,41.68
fisherella,-122.47,41.47
fisherella,-121.99,42.7
fisherella,-119.2,46.23
fisherella,-120,41.91
fisherella,-118.59,37.86
fisherella,-119.16,41.39
fisherella,-116.14,34.03
fisherella,-122.02,36.99
fisherella,-121.59,39.15
fisherella,-118.83,37.61
fisherella,-120.2,40.94
fisherella,-120.81,39.21
fisherella,-119.34,38.38
