assigned,longitude,latitude
gouldii,-122.28,38.18
gouldii,-122.03,37.01
gouldii,-122.46,37.49
gouldii,-121.72,37.34
gouldii,-121.84,36.29
gouldii,-119.68,34.02
gouldii,-120.24,39.43
gouldii,-121.61,36.08
gouldii,-122.71,38.47
gouldii,-122.46,37.4
gouldii,-118.23,34.16
gouldii,-122.9,38.5
gouldii,-122.07,38.2
gouldii,-122.37,37.58
gouldii,-122.85,38.02
gouldii,-122.09,37.56
gouldii,-122.42,38.16
gouldii,-122.52,38.35
gouldii,-122.82,38.4
gouldii,-122.49,37.71
gouldii,-121.86,37.77
gouldii,-122.62,38.41
gouldii,-122.26,38.05
gouldii,-122.55,37.84
gouldii,-122.21,37.79
gouldii,-122.25,37.88
gouldii,-122.11,37.84
gouldii,-121.99,37.46
gouldii,-122.16,38.1
gouldii,-122.36,38.25
gouldii,-122.54,38.56
gouldii,-122.67,39.02
gouldii,-122.17,38.25
gouldii,-123.09,38.53
gouldii,-123.08,38.44
gouldii,-122.28,38.32
gouldii,-122.38,37.25
gouldii,-122.37,37.96
gouldii,-121.56,36.9
gouldii,-122.27,37.14
gouldii,-122.27,37.32
gouldii,-123.35,39.57
gouldii,-122.87,38.61
gouldii,-122.9,39.17
gouldii,-122.92,38.27
gouldii,-123.17,40.47
gouldii,-121.78,38.54
gouldii,-120.85,35.37
gouldii,-122.14,37.46
gouldii,-122.05,37.99
gouldii,-121.92,36.55
gouldii,-121.46,36.98
gouldii,-121.43,36.77
gouldii,-121.4,36.86
gouldii,-122.65,38.79
gouldii,-123.21,39.49
gouldii,-123.49,39.69
gouldii,-122.49,37.61
gouldii,-122.67,38.01
gouldii,-122.09,37.65
gouldii,-122.55,39.42
gouldii,-112.55,39.38
gouldii,-122.26,37.43
gouldii,-122.99,38
gouldii,-122.75,38.08
gouldii,-122.87,38.13
gouldii,-123.22,38.53
gouldii,-123.36,39.41
gouldii,-123.53,38.77
gouldii,-123.09,39.45
gouldii,-122.71,38.33
gouldii,-122.24,38.89
gouldii,-121.99,38.36
gouldii,-122.69,37.91
gouldii,-121.89,36.41
gouldii,-122.92,39.04
gouldii,-122.06,37.75
gouldii,-122.64,38.23
gouldii,-121.73,36.48
gouldii,-121.92,37.65
gouldii,-122.54,38.07
gouldii,-122.4,38.34
gouldii,-121.85,37.48
gouldii,-121.94,37.13
gouldii,-121.28,36.73
gouldii,-122.45,38.5
gouldii,-121.95,37.23
gouldii,-122.11,37.36
gouldii,-121.97,37.37
gouldii,-121.71,37.19
gouldii,-121.95,37.92
gouldii,-119.75,37.25
gouldii,-122.4,37.79
gouldii,-121.79,36.8
gouldii,-122.5,37.94
gouldii,-123.21,49.22
gouldii,-123.03,38.3
gouldii,-121.78,37.9
gouldii,-123.36,39.27
